EKG,T,,,,,
357,2,83.60374117,0.077486553,39.7260274,0.054886246,0
356,3,,,,,
355,4,,,,,
352,5,,,,,
350,6,,,,,
348,7,,,,,
346,8,,,,,
343,9,,,,,
341,10,,,,,
338,11,,,,,
327,19,,,,,
335,27,,,,,
345,35,,,,,
339,45,,,,,
335,53,,,,,
342,61,,,,,
332,69,,,,,
333,77,,,,,
333,86,,,,,
337,94,,,,,
335,102,,,,,
341,112,,,,,
339,121,,,,,
338,131,,,,,
341,140,,,,,
339,149,,,,,
324,158,,,,,
344,167,,,,,
341,178,,,,,
327,187,,,,,
323,196,,,,,
352,205,,,,,
336,215,,,,,
338,224,,,,,
334,233,,,,,
332,242,,,,,
332,252,,,,,
338,262,,,,,
333,271,,,,,
336,280,,,,,
356,289,,,,,
333,299,,,,,
355,308,,,,,
347,318,,,,,
343,327,,,,,
345,336,,,,,
332,346,,,,,
337,355,,,,,
334,364,,,,,
323,373,,,,,
343,384,,,,,
333,393,,,,,
329,402,,,,,
331,411,,,,,
370,420,,,,,
446,430,,,,,
403,439,,,,,
390,449,,,,,
349,458,,,,,
341,467,,,,,
331,477,,,,,
319,486,,,,,
317,495,,,,,
315,504,,,,,
324,515,,,,,
321,524,,,,,
303,533,,,,,
321,542,,,,,
337,551,,,,,
318,561,,,,,
324,570,,,,,
331,580,,,,,
337,589,,,,,
323,599,,,,,
330,608,,,,,
324,617,,,,,
327,626,,,,,
337,635,,,,,
340,646,,,,,
348,655,,,,,
350,664,,,,,
333,673,,,,,
356,683,,,,,
345,692,,,,,
346,701,,,,,
353,711,,,,,
335,720,,,,,
350,730,,,,,
327,739,,,,,
327,748,,,,,
323,757,,,,,
311,766,,,,,
310,777,,,,,
331,786,,,,,
311,795,,,,,
328,804,,,,,
321,814,,,,,
316,823,,,,,
321,832,,,,,
324,841,,,,,
321,851,,,,,
321,861,,,,,
330,870,,,,,
327,879,,,,,
325,888,,,,,
317,898,,,,,
337,907,,,,,
322,917,,,,,
326,926,,,,,
319,935,,,,,
329,945,,,,,
329,954,,,,,
327,963,,,,,
339,972,,,,,
329,983,,,,,
334,992,,,,,
327,1001,,,,,
330,1011,,,,,
325,1021,,,,,
327,1032,,,,,
332,1043,,,,,
330,1053,,,,,
334,1063,,,,,
330,1074,,,,,
330,1084,,,,,
337,1094,,,,,
331,1104,,,,,
332,1116,,,,,
347,1126,,,,,
317,1136,,,,,
343,1146,,,,,
333,1157,,,,,
343,1167,,,,,
331,1178,,,,,
343,1188,,,,,
351,1199,,,,,
333,1209,,,,,
326,1219,,,,,
338,1229,,,,,
323,1240,,,,,
327,1251,,,,,
322,1261,,,,,
326,1271,,,,,
395,1282,,,,,
449,1292,,,,,
397,1302,,,,,
373,1313,,,,,
323,1324,,,,,
310,1334,,,,,
309,1344,,,,,
310,1354,,,,,
314,1364,,,,,
314,1376,,,,,
321,1386,,,,,
306,1396,,,,,
318,1406,,,,,
316,1417,,,,,
319,1427,,,,,
305,1437,,,,,
326,1448,,,,,
303,1459,,,,,
320,1469,,,,,
317,1479,,,,,
335,1489,,,,,
334,1500,,,,,
333,1511,,,,,
339,1521,,,,,
338,1531,,,,,
332,1542,,,,,
335,1552,,,,,
348,1562,,,,,
338,1572,,,,,
328,1584,,,,,
326,1594,,,,,
316,1604,,,,,
316,1614,,,,,
306,1625,,,,,
304,1635,,,,,
303,1646,,,,,
307,1656,,,,,
310,1667,,,,,
314,1677,,,,,
317,1687,,,,,
299,1697,,,,,
321,1709,,,,,
306,1719,,,,,
312,1729,,,,,
311,1739,,,,,
318,1750,,,,,
306,1760,,,,,
322,1770,,,,,
315,1781,,,,,
315,1792,,,,,
307,1802,,,,,
320,1812,,,,,
309,1822,,,,,
319,1832,,,,,
319,1844,,,,,
308,1854,,,,,
312,1864,,,,,
323,1874,,,,,
315,1885,,,,,
320,1895,,,,,
323,1905,,,,,
310,1916,,,,,
318,1927,,,,,
316,1937,,,,,
309,1947,,,,,
329,1957,,,,,
323,1968,,,,,
318,1979,,,,,
328,1989,,,,,
321,1999,,,,,
331,2010,,,,,
325,2020,,,,,
332,2030,,,,,
337,2041,,,,,
343,2052,,,,,
333,2062,,,,,
329,2072,,,,,
320,2082,,,,,
327,2093,,,,,
319,2103,,,,,
318,2114,,,,,
328,2124,,,,,
355,2135,,,,,
425,2145,,,,,
418,2155,,,,,
389,2165,,,,,
334,2177,,,,,
323,2187,,,,,
317,2197,,,,,
313,2207,,,,,
311,2217,,,,,
317,2228,,,,,
310,2238,,,,,
320,2249,,,,,
308,2259,,,,,
329,2270,,,,,
306,2280,,,,,
323,2290,,,,,
320,2300,,,,,
330,2312,,,,,
328,2322,,,,,
320,2332,,,,,
336,2342,,,,,
334,2353,,,,,
335,2363,,,,,
340,2374,,,,,
344,2384,,,,,
349,2395,,,,,
347,2405,,,,,
353,2415,,,,,
342,2425,,,,,
336,2436,,,,,
342,2447,,,,,
314,2457,,,,,
331,2467,,,,,
313,2478,,,,,
318,2488,,,,,
310,2498,,,,,
318,2509,,,,,
314,2520,,,,,
325,2530,,,,,
308,2540,,,,,
327,2550,,,,,
311,2561,,,,,
312,2571,,,,,
319,2582,,,,,
335,2592,,,,,
319,2603,,,,,
333,2613,,,,,
329,2623,,,,,
311,2633,,,,,
330,2644,,,,,
329,2655,,,,,
321,2665,,,,,
322,2675,,,,,
325,2685,,,,,
334,2696,,,,,
337,2707,,,,,
318,2717,,,,,
331,2727,,,,,
318,2738,,,,,
328,2748,,,,,
324,2758,,,,,
340,2768,,,,,
329,2780,,,,,
331,2790,,,,,
327,2800,,,,,
327,2810,,,,,
325,2821,,,,,
326,2831,,,,,
312,2842,,,,,
341,2852,,,,,
326,2863,,,,,
327,2873,,,,,
332,2883,,,,,
338,2893,,,,,
321,2904,,,,,
341,2915,,,,,
337,2925,,,,,
331,2935,,,,,
347,2946,,,,,
330,2956,,,,,
332,2966,,,,,
325,2977,,,,,
322,2988,,,,,
331,2998,,,,,
329,3008,,,,,
312,3018,,,,,
381,3028,,,,,
428,3040,,,,,
406,3050,,,,,
369,3060,,,,,
312,3070,,,,,
305,3081,,,,,
312,3091,,,,,
302,3101,,,,,
297,3112,,,,,
292,3123,,,,,
293,3133,,,,,
291,3143,,,,,
308,3153,,,,,
301,3164,,,,,
307,3175,,,,,
302,3185,,,,,
302,3195,,,,,
299,3206,,,,,
304,3216,,,,,
316,3226,,,,,
