EKG,T,,,,,
330,3206,,,,,
331,3216,,,,,
330,3226,,,,,
331,3236,,,,,
332,3248,,,,,
331,3258,,,,,
326,3268,,,,,
327,3278,,,,,
364,3289,,,,,
408,3299,,,,,
408,3310,,,,,
366,3320,,,,,
332,3331,,,,,
329,3341,,,,,
332,3351,,,,,
328,3361,,,,,
332,3373,,,,,
329,3383,,,,,
333,3393,,,,,
330,3403,,,,,
335,3414,,,,,
332,3424,,,,,
337,3434,,,,,
335,3445,,,,,
339,3456,,,,,
339,3466,,,,,
343,3476,,,,,
344,3486,,,,,
348,3496,,,,,
350,3508,,,,,
352,3518,,,,,
354,3528,,,,,
353,3538,,,,,
353,3549,,,,,
346,3559,,,,,
340,3569,,,,,
330,3580,,,,,
328,3591,,,,,
321,3601,,,,,
323,3611,,,,,
319,3621,,,,,
323,3632,,,,,
319,3643,,,,,
323,3653,,,,,
320,3663,,,,,
325,3674,,,,,
322,3684,,,,,
326,3694,,,,,
323,3705,,,,,
326,3716,,,,,
324,3726,,,,,
327,3736,,,,,
325,3746,,,,,
326,3757,,,,,
326,3767,,,,,
327,3778,,,,,
327,3788,,,,,
327,3799,,,,,
329,3809,,,,,
329,3819,,,,,
332,3829,,,,,
329,3841,,,,,
331,3851,,,,,
327,3861,,,,,
330,3871,,,,,
325,3881,,,,,
328,3892,,,,,
325,3902,,,,,
329,3913,,,,,
325,3923,,,,,
330,3934,,,,,
326,3944,,,,,
331,3954,,,,,
327,3964,,,,,
324,3976,,,,,
329,3986,,,,,
373,3996,,,,,
407,4006,,,,,
406,4017,,,,,
350,4027,,,,,
328,4038,,,,,
330,4048,,,,,
328,4059,,,,,
329,4069,,,,,
328,4079,,,,,
331,4089,,,,,
329,4100,,,,,
333,4111,,,,,
330,4121,,,,,
336,4131,,,,,
333,4142,,,,,
337,4152,,,,,
335,4162,,,,,
341,4173,,,,,
340,4184,,,,,
346,4194,,,,,
345,4204,,,,,
352,4214,,,,,
351,4225,,,,,
356,4235,,,,,
353,4246,,,,,
353,4256,,,,,
345,4267,,,,,
338,4277,,,,,
330,4287,,,,,
326,4297,,,,,
322,4308,,,,,
320,4319,,,,,
321,4329,,,,,
320,4339,,,,,
321,4349,,,,,
320,4360,,,,,
323,4371,,,,,
321,4381,,,,,
325,4391,,,,,
322,4402,,,,,
326,4412,,,,,
323,4422,,,,,
327,4432,,,,,
323,4444,,,,,
327,4454,,,,,
325,4464,,,,,
329,4474,,,,,
324,4485,,,,,
328,4495,,,,,
326,4506,,,,,
330,4516,,,,,
328,4527,,,,,
331,4537,,,,,
332,4547,,,,,
333,4557,,,,,
330,4568,,,,,
330,4579,,,,,
330,4589,,,,,
328,4599,,,,,
329,4610,,,,,
327,4620,,,,,
330,4630,,,,,
328,4641,,,,,
331,4652,,,,,
328,4662,,,,,
331,4672,,,,,
327,4682,,,,,
325,4692,,,,,
328,4704,,,,,
371,4714,,,,,
404,4724,,,,,
406,4734,,,,,
350,4745,,,,,
331,4755,,,,,
328,4765,,,,,
331,4776,,,,,
327,4787,,,,,
330,4797,,,,,
329,4807,,,,,
331,4817,,,,,
332,4828,,,,,
333,4839,,,,,
333,4849,,,,,
335,4859,,,,,
336,4870,,,,,
336,4880,,,,,
340,4890,,,,,
340,4900,,,,,
346,4912,,,,,
345,4922,,,,,
352,4932,,,,,
350,4942,,,,,
355,4953,,,,,
352,4963,,,,,
353,4974,,,,,
343,4984,,,,,
339,4995,,,,,
328,5005,,,,,
327,5015,,,,,
320,5025,,,,,
322,5037,,,,,
318,5047,,,,,
321,5057,,,,,
319,5067,,,,,
322,5078,,,,,
321,5088,,,,,
322,5098,,,,,
323,5109,,,,,
323,5120,,,,,
325,5130,,,,,
323,5140,,,,,
325,5150,,,,,
324,5160,,,,,
326,5172,,,,,
323,5182,,,,,
327,5192,,,,,
324,5202,,,,,
328,5213,,,,,
325,5223,,,,,
330,5233,,,,,
328,5244,,,,,
333,5255,,,,,
328,5265,,,,,
330,5275,,,,,
327,5285,,,,,
329,5296,,,,,
325,5307,,,,,
328,5317,,,,,
326,5327,,,,,
328,5338,,,,,
326,5348,,,,,
328,5358,,,,,
328,5369,,,,,
328,5380,,,,,
326,5390,,,,,
321,5400,,,,,
346,5410,,,,,
395,5421,,,,,
406,5431,,,,,
389,5442,,,,,
332,5452,,,,,
327,5463,,,,,
330,5473,,,,,
325,5483,,,,,
329,5493,,,,,
326,5505,,,,,
331,5515,,,,,
328,5525,,,,,
333,5535,,,,,
330,5545,,,,,
334,5556,,,,,
332,5566,,,,,
337,5577,,,,,
336,5587,,,,,
340,5598,,,,,
341,5608,,,,,
345,5618,,,,,
348,5628,,,,,
350,5640,,,,,
352,5650,,,,,
351,5660,,,,,
352,5670,,,,,
345,5681,,,,,
340,5691,,,,,
330,5702,,,,,
327,5712,,,,,
320,5723,,,,,
321,5733,,,,,
317,5743,,,,,
321,5753,,,,,
318,5764,,,,,
322,5775,,,,,
319,5785,,,,,
323,5795,,,,,
320,5806,,,,,
325,5816,,,,,
322,5826,,,,,
325,5837,,,,,
323,5848,,,,,
326,5858,,,,,
324,5868,,,,,
325,5878,,,,,
325,5889,,,,,
325,5899,,,,,
326,5910,,,,,
326,5920,,,,,
329,5931,,,,,
329,5941,,,,,
332,5951,,,,,
329,5961,,,,,
331,5972,,,,,
328,5983,,,,,
330,5993,,,,,
325,6003,,,,,
329,6013,,,,,
325,6024,,,,,
329,6035,,,,,
325,6045,,,,,
331,6055,,,,,
327,6066,,,,,
331,6076,,,,,
326,6086,,,,,
323,6096,,,,,
329,6108,,,,,
374,6118,,,,,
405,6128,,,,,
405,6138,,,,,
347,6149,,,,,
328,6159,,,,,
329,6170,,,,,
328,6180,,,,,
328,6191,,,,,
327,6201,,,,,
330,6211,,,,,
329,6221,,,,,
333,6232,,,,,
330,6243,,,,,
334,6253,,,,,
332,6263,,,,,
337,6274,,,,,
335,6284,,,,,
340,6294,,,,,
339,6305,,,,,
346,6316,,,,,
345,6326,,,,,
352,6336,,,,,
350,6346,,,,,
355,6356,,,,,
351,6368,,,,,
351,6378,,,,,
343,6388,,,,,
337,6398,,,,,
328,6409,,,,,
324,6419,,,,,
321,6429,,,,,
319,6440,,,,,
320,6451,,,,,
319,6461,,,,,
321,6471,,,,,
319,6481,,,,,
322,6492,,,,,
320,6503,,,,,
324,6513,,,,,
321,6523,,,,,
325,6534,,,,,
322,6544,,,,,
326,6554,,,,,
323,6564,,,,,
327,6576,,,,,
323,6586,,,,,
327,6596,,,,,
323,6606,,,,,
327,6617,,,,,
324,6627,,,,,
327,6638,,,,,
325,6648,,,,,
328,6659,,,,,
329,6669,,,,,
331,6679,,,,,
331,6689,,,,,
330,6701,,,,,
330,6711,,,,,
328,6721,,,,,
328,6731,,,,,
326,6742,,,,,
328,6752,,,,,
325,6762,,,,,
329,6773,,,,,
326,6784,,,,,
330,6794,,,,,
327,6804,,,,,
330,6814,,,,,
324,6824,,,,,
324,6836,,,,,
344,6846,,,,,
399,6856,,,,,
403,6866,,,,,
391,6877,,,,,
328,6887,,,,,
329,6897,,,,,
327,6908,,,,,
328,6919,,,,,
326,6929,,,,,
328,6939,,,,,
329,6949,,,,,
329,6960,,,,,
330,6971,,,,,
331,6981,,,,,
333,6991,,,,,
332,7002,,,,,
336,7012,,,,,
335,7022,,,,,
340,7033,,,,,
339,7044,,,,,
345,7054,,,,,
345,7064,,,,,
351,7074,,,,,
349,7085,,,,,
353,7095,,,,,
349,7106,,,,,
349,7116,,,,,
338,7127,,,,,
334,7137,,,,,
324,7147,,,,,
323,7157,,,,,
