EKG,T,,,,,
394,2,91.62895928,0.040676717,23.45679012,0.038681391,0
390,3,,,,,
388,4,,,,,
387,5,,,,,
386,6,,,,,
386,7,,,,,
388,8,,,,,
391,9,,,,,
393,10,,,,,
395,11,,,,,
396,19,,,,,
377,27,,,,,
390,35,,,,,
379,45,,,,,
381,53,,,,,
387,61,,,,,
372,69,,,,,
388,77,,,,,
376,86,,,,,
408,94,,,,,
436,102,,,,,
449,112,,,,,
453,121,,,,,
390,131,,,,,
394,140,,,,,
378,149,,,,,
392,158,,,,,
373,167,,,,,
389,178,,,,,
373,187,,,,,
389,196,,,,,
376,205,,,,,
389,215,,,,,
381,224,,,,,
388,233,,,,,
388,242,,,,,
387,252,,,,,
396,262,,,,,
389,271,,,,,
406,280,,,,,
393,289,,,,,
413,299,,,,,
398,308,,,,,
417,318,,,,,
400,327,,,,,
412,336,,,,,
389,346,,,,,
391,355,,,,,
371,364,,,,,
371,373,,,,,
363,384,,,,,
359,393,,,,,
363,402,,,,,
353,411,,,,,
365,420,,,,,
350,430,,,,,
367,439,,,,,
350,449,,,,,
368,458,,,,,
352,467,,,,,
369,477,,,,,
354,486,,,,,
368,495,,,,,
356,504,,,,,
365,515,,,,,
360,524,,,,,
360,533,,,,,
364,542,,,,,
356,551,,,,,
367,561,,,,,
353,570,,,,,
368,580,,,,,
350,589,,,,,
368,599,,,,,
351,608,,,,,
368,617,,,,,
352,626,,,,,
367,635,,,,,
355,646,,,,,
365,655,,,,,
360,664,,,,,
365,673,,,,,
367,683,,,,,
359,692,,,,,
368,701,,,,,
353,711,,,,,
369,720,,,,,
352,730,,,,,
370,739,,,,,
352,748,,,,,
369,757,,,,,
355,766,,,,,
395,777,,,,,
415,786,,,,,
453,795,,,,,
431,804,,,,,
380,814,,,,,
374,823,,,,,
369,832,,,,,
373,841,,,,,
360,851,,,,,
375,861,,,,,
359,870,,,,,
377,879,,,,,
360,888,,,,,
380,898,,,,,
364,907,,,,,
383,917,,,,,
370,926,,,,,
385,935,,,,,
379,945,,,,,
388,954,,,,,
390,963,,,,,
392,972,,,,,
401,983,,,,,
393,992,,,,,
409,1001,,,,,
393,1011,,,,,
399,1021,,,,,
377,1032,,,,,
373,1043,,,,,
359,1053,,,,,
356,1063,,,,,
352,1074,,,,,
349,1084,,,,,
353,1094,,,,,
346,1104,,,,,
355,1116,,,,,
346,1126,,,,,
359,1136,,,,,
346,1146,,,,,
361,1157,,,,,
346,1167,,,,,
363,1178,,,,,
346,1188,,,,,
363,1199,,,,,
346,1209,,,,,
364,1219,,,,,
346,1229,,,,,
364,1240,,,,,
346,1251,,,,,
363,1261,,,,,
348,1271,,,,,
362,1282,,,,,
349,1292,,,,,
359,1302,,,,,
352,1313,,,,,
358,1324,,,,,
355,1334,,,,,
356,1344,,,,,
360,1354,,,,,
355,1364,,,,,
365,1376,,,,,
356,1386,,,,,
369,1396,,,,,
353,1406,,,,,
367,1417,,,,,
351,1427,,,,,
368,1437,,,,,
351,1448,,,,,
368,1459,,,,,
350,1469,,,,,
374,1479,,,,,
386,1489,,,,,
438,1500,,,,,
435,1511,,,,,
399,1521,,,,,
364,1531,,,,,
377,1542,,,,,
361,1552,,,,,
369,1562,,,,,
361,1572,,,,,
368,1584,,,,,
366,1594,,,,,
368,1604,,,,,
372,1614,,,,,
369,1625,,,,,
378,1635,,,,,
371,1646,,,,,
386,1656,,,,,
377,1667,,,,,
395,1677,,,,,
384,1687,,,,,
403,1697,,,,,
388,1709,,,,,
406,1719,,,,,
385,1729,,,,,
394,1739,,,,,
364,1750,,,,,
372,1760,,,,,
347,1770,,,,,
362,1781,,,,,
342,1792,,,,,
358,1802,,,,,
343,1812,,,,,
356,1822,,,,,
347,1832,,,,,
355,1844,,,,,
351,1854,,,,,
354,1864,,,,,
354,1874,,,,,
352,1885,,,,,
357,1895,,,,,
350,1905,,,,,
360,1916,,,,,
347,1927,,,,,
360,1937,,,,,
346,1947,,,,,
361,1957,,,,,
344,1968,,,,,
362,1979,,,,,
344,1989,,,,,
363,1999,,,,,
345,2010,,,,,
364,2020,,,,,
345,2030,,,,,
364,2041,,,,,
346,2052,,,,,
363,2062,,,,,
348,2072,,,,,
361,2082,,,,,
351,2093,,,,,
360,2103,,,,,
354,2114,,,,,
359,2124,,,,,
361,2135,,,,,
361,2145,,,,,
363,2155,,,,,
356,2165,,,,,
363,2177,,,,,
352,2187,,,,,
365,2197,,,,,
351,2207,,,,,
365,2217,,,,,
351,2228,,,,,
390,2238,,,,,
410,2249,,,,,
452,2259,,,,,
407,2270,,,,,
382,2280,,,,,
361,2290,,,,,
376,2300,,,,,
355,2312,,,,,
372,2322,,,,,
356,2332,,,,,
371,2342,,,,,
361,2353,,,,,
372,2363,,,,,
367,2374,,,,,
373,2384,,,,,
374,2395,,,,,
376,2405,,,,,
382,2415,,,,,
380,2425,,,,,
392,2436,,,,,
385,2447,,,,,
399,2457,,,,,
387,2467,,,,,
401,2478,,,,,
378,2488,,,,,
385,2498,,,,,
357,2509,,,,,
367,2520,,,,,
345,2530,,,,,
360,2540,,,,,
340,2550,,,,,
358,2561,,,,,
341,2571,,,,,
359,2582,,,,,
343,2592,,,,,
359,2603,,,,,
346,2613,,,,,
357,2623,,,,,
349,2633,,,,,
355,2644,,,,,
352,2655,,,,,
353,2665,,,,,
354,2675,,,,,
350,2685,,,,,
356,2696,,,,,
347,2707,,,,,
359,2717,,,,,
346,2727,,,,,
360,2738,,,,,
345,2748,,,,,
361,2758,,,,,
345,2768,,,,,
362,2780,,,,,
345,2790,,,,,
363,2800,,,,,
345,2810,,,,,
363,2821,,,,,
347,2831,,,,,
364,2842,,,,,
347,2852,,,,,
364,2863,,,,,
351,2873,,,,,
365,2883,,,,,
357,2893,,,,,
364,2904,,,,,
358,2915,,,,,
359,2925,,,,,
358,2935,,,,,
356,2946,,,,,
362,2956,,,,,
354,2966,,,,,
363,2977,,,,,
358,2988,,,,,
403,2998,,,,,
421,3008,,,,,
450,3018,,,,,
380,3028,,,,,
379,3040,,,,,
359,3050,,,,,
374,3060,,,,,
354,3070,,,,,
372,3081,,,,,
355,3091,,,,,
373,3101,,,,,
358,3112,,,,,
375,3123,,,,,
363,3133,,,,,
378,3143,,,,,
369,3153,,,,,
381,3164,,,,,
379,3175,,,,,
385,3185,,,,,
388,3195,,,,,
389,3206,,,,,
395,3216,,,,,
388,3226,,,,,
395,3236,,,,,
376,3248,,,,,
378,3258,,,,,
355,3268,,,,,
364,3278,,,,,
343,3289,,,,,
359,3299,,,,,
340,3310,,,,,
359,3320,,,,,
341,3331,,,,,
360,3341,,,,,
342,3351,,,,,
362,3361,,,,,
344,3373,,,,,
362,3383,,,,,
346,3393,,,,,
360,3403,,,,,
349,3414,,,,,
358,3424,,,,,
350,3434,,,,,
355,3445,,,,,
353,3456,,,,,
352,3466,,,,,
355,3476,,,,,
350,3486,,,,,
358,3496,,,,,
348,3508,,,,,
360,3518,,,,,
347,3528,,,,,
362,3538,,,,,
346,3549,,,,,
363,3559,,,,,
346,3569,,,,,
365,3580,,,,,
346,3591,,,,,
366,3601,,,,,
347,3611,,,,,
367,3621,,,,,
351,3632,,,,,
371,3643,,,,,
354,3653,,,,,
368,3663,,,,,
