EKG,T,,,,,
320,2,115.990991,0.080365599,10.67961165,0.083484177,1
320,3,,,,,
320,4,,,,,
319,5,,,,,
319,6,,,,,
318,7,,,,,
317,8,,,,,
316,9,,,,,
315,10,,,,,
314,11,,,,,
308,19,,,,,
301,27,,,,,
302,35,,,,,
298,45,,,,,
297,53,,,,,
296,61,,,,,
298,69,,,,,
303,77,,,,,
311,86,,,,,
330,94,,,,,
392,102,,,,,
503,112,,,,,
579,121,,,,,
560,131,,,,,
283,140,,,,,
245,149,,,,,
286,158,,,,,
303,167,,,,,
307,178,,,,,
312,187,,,,,
321,196,,,,,
327,205,,,,,
337,215,,,,,
345,224,,,,,
357,233,,,,,
373,242,,,,,
392,252,,,,,
411,262,,,,,
431,271,,,,,
448,280,,,,,
457,289,,,,,
454,299,,,,,
444,308,,,,,
429,318,,,,,
408,327,,,,,
392,336,,,,,
372,346,,,,,
353,355,,,,,
334,364,,,,,
321,373,,,,,
311,384,,,,,
305,393,,,,,
303,402,,,,,
302,411,,,,,
304,420,,,,,
308,430,,,,,
314,439,,,,,
319,449,,,,,
325,458,,,,,
329,467,,,,,
333,477,,,,,
336,486,,,,,
335,495,,,,,
335,504,,,,,
334,515,,,,,
333,524,,,,,
338,533,,,,,
335,542,,,,,
337,551,,,,,
338,561,,,,,
331,570,,,,,
321,580,,,,,
313,589,,,,,
310,599,,,,,
306,608,,,,,
308,617,,,,,
308,626,,,,,
313,635,,,,,
313,646,,,,,
343,655,,,,,
439,664,,,,,
590,673,,,,,
656,683,,,,,
484,692,,,,,
251,701,,,,,
271,711,,,,,
296,720,,,,,
303,730,,,,,
310,739,,,,,
315,748,,,,,
323,757,,,,,
331,766,,,,,
341,777,,,,,
352,786,,,,,
367,795,,,,,
382,804,,,,,
403,814,,,,,
423,823,,,,,
441,832,,,,,
454,841,,,,,
458,851,,,,,
451,861,,,,,
436,870,,,,,
418,879,,,,,
398,888,,,,,
380,898,,,,,
359,907,,,,,
340,917,,,,,
322,926,,,,,
308,935,,,,,
299,945,,,,,
294,954,,,,,
