EKG,T,,,,,
393,2,97.5978816,0.042005723,2.325581395,0.015567689,0
392,3,,,,,
391,4,,,,,
391,5,,,,,
390,6,,,,,
389,7,,,,,
388,8,,,,,
387,9,,,,,
386,10,,,,,
385,11,,,,,
382,19,,,,,
387,27,,,,,
382,35,,,,,
383,45,,,,,
382,53,,,,,
380,61,,,,,
383,69,,,,,
374,77,,,,,
377,86,,,,,
374,94,,,,,
374,102,,,,,
377,112,,,,,
374,121,,,,,
378,131,,,,,
373,140,,,,,
378,149,,,,,
373,158,,,,,
374,167,,,,,
366,178,,,,,
385,187,,,,,
419,196,,,,,
441,205,,,,,
436,215,,,,,
399,224,,,,,
371,233,,,,,
371,242,,,,,
371,252,,,,,
368,262,,,,,
371,271,,,,,
366,280,,,,,
371,289,,,,,
366,299,,,,,
372,308,,,,,
368,318,,,,,
373,327,,,,,
370,336,,,,,
375,346,,,,,
371,355,,,,,
376,364,,,,,
376,373,,,,,
379,384,,,,,
381,393,,,,,
381,402,,,,,
386,411,,,,,
383,420,,,,,
388,430,,,,,
382,439,,,,,
384,449,,,,,
375,458,,,,,
374,467,,,,,
361,477,,,,,
360,486,,,,,
353,495,,,,,
355,504,,,,,
352,515,,,,,
353,524,,,,,
354,533,,,,,
353,542,,,,,
355,551,,,,,
352,561,,,,,
357,570,,,,,
353,580,,,,,
358,589,,,,,
353,599,,,,,
359,608,,,,,
355,617,,,,,
358,626,,,,,
355,635,,,,,
359,646,,,,,
355,655,,,,,
357,664,,,,,
356,673,,,,,
356,683,,,,,
358,692,,,,,
357,701,,,,,
361,711,,,,,
358,720,,,,,
363,730,,,,,
357,739,,,,,
361,748,,,,,
355,757,,,,,
359,766,,,,,
354,777,,,,,
358,786,,,,,
355,795,,,,,
358,804,,,,,
355,814,,,,,
357,823,,,,,
357,832,,,,,
356,841,,,,,
357,851,,,,,
353,861,,,,,
353,870,,,,,
349,879,,,,,
378,888,,,,,
418,898,,,,,
426,907,,,,,
419,917,,,,,
371,926,,,,,
352,935,,,,,
355,945,,,,,
352,954,,,,,
353,963,,,,,
353,972,,,,,
353,983,,,,,
355,992,,,,,
354,1001,,,,,
357,1011,,,,,
357,1021,,,,,
358,1032,,,,,
358,1043,,,,,
359,1053,,,,,
363,1063,,,,,
362,1074,,,,,
367,1084,,,,,
367,1094,,,,,
373,1104,,,,,
372,1116,,,,,
377,1126,,,,,
371,1136,,,,,
372,1146,,,,,
364,1157,,,,,
362,1167,,,,,
351,1178,,,,,
349,1188,,,,,
342,1199,,,,,
345,1209,,,,,
343,1219,,,,,
345,1229,,,,,
343,1240,,,,,
345,1251,,,,,
344,1261,,,,,
345,1271,,,,,
346,1282,,,,,
346,1292,,,,,
347,1302,,,,,
347,1313,,,,,
350,1324,,,,,
348,1334,,,,,
349,1344,,,,,
346,1354,,,,,
350,1364,,,,,
347,1376,,,,,
351,1386,,,,,
347,1396,,,,,
351,1406,,,,,
347,1417,,,,,
354,1427,,,,,
347,1437,,,,,
354,1448,,,,,
350,1459,,,,,
356,1469,,,,,
351,1479,,,,,
355,1489,,,,,
351,1500,,,,,
354,1511,,,,,
350,1521,,,,,
352,1531,,,,,
350,1542,,,,,
352,1552,,,,,
351,1562,,,,,
351,1572,,,,,
353,1584,,,,,
352,1594,,,,,
352,1604,,,,,
344,1614,,,,,
365,1625,,,,,
407,1635,,,,,
419,1646,,,,,
411,1656,,,,,
362,1667,,,,,
348,1677,,,,,
353,1687,,,,,
346,1697,,,,,
352,1709,,,,,
347,1719,,,,,
354,1729,,,,,
350,1739,,,,,
354,1750,,,,,
351,1760,,,,,
356,1770,,,,,
355,1781,,,,,
357,1792,,,,,
358,1802,,,,,
361,1812,,,,,
363,1822,,,,,
364,1832,,,,,
369,1844,,,,,
369,1854,,,,,
373,1864,,,,,
369,1874,,,,,
371,1885,,,,,
363,1895,,,,,
360,1905,,,,,
348,1916,,,,,
349,1927,,,,,
340,1937,,,,,
345,1947,,,,,
337,1957,,,,,
344,1968,,,,,
338,1979,,,,,
344,1989,,,,,
341,1999,,,,,
346,2010,,,,,
342,2020,,,,,
346,2030,,,,,
345,2041,,,,,
346,2052,,,,,
346,2062,,,,,
347,2072,,,,,
347,2082,,,,,
345,2093,,,,,
347,2103,,,,,
344,2114,,,,,
348,2124,,,,,
345,2135,,,,,
350,2145,,,,,
346,2155,,,,,
353,2165,,,,,
350,2177,,,,,
356,2187,,,,,
349,2197,,,,,
353,2207,,,,,
346,2217,,,,,
350,2228,,,,,
345,2238,,,,,
351,2249,,,,,
347,2259,,,,,
351,2270,,,,,
349,2280,,,,,
351,2290,,,,,
349,2300,,,,,
350,2312,,,,,
345,2322,,,,,
342,2332,,,,,
364,2342,,,,,
410,2353,,,,,
415,2363,,,,,
408,2374,,,,,
356,2384,,,,,
347,2395,,,,,
351,2405,,,,,
344,2415,,,,,
349,2425,,,,,
344,2436,,,,,
350,2447,,,,,
346,2457,,,,,
353,2467,,,,,
348,2478,,,,,
355,2488,,,,,
350,2498,,,,,
356,2509,,,,,
353,2520,,,,,
360,2530,,,,,
359,2540,,,,,
363,2550,,,,,
364,2561,,,,,
367,2571,,,,,
369,2582,,,,,
367,2592,,,,,
366,2603,,,,,
360,2613,,,,,
356,2623,,,,,
346,2633,,,,,
343,2644,,,,,
337,2655,,,,,
340,2665,,,,,
335,2675,,,,,
341,2685,,,,,
336,2696,,,,,
343,2707,,,,,
338,2717,,,,,
345,2727,,,,,
338,2738,,,,,
344,2748,,,,,
340,2758,,,,,
345,2768,,,,,
341,2780,,,,,
346,2790,,,,,
343,2800,,,,,
345,2810,,,,,
344,2821,,,,,
345,2831,,,,,
346,2842,,,,,
344,2852,,,,,
347,2863,,,,,
346,2873,,,,,
351,2883,,,,,
348,2893,,,,,
350,2904,,,,,
344,2915,,,,,
349,2925,,,,,
342,2935,,,,,
349,2946,,,,,
344,2956,,,,,
350,2966,,,,,
344,2977,,,,,
350,2988,,,,,
345,2998,,,,,
350,3008,,,,,
344,3018,,,,,
343,3028,,,,,
342,3040,,,,,
375,3050,,,,,
414,3060,,,,,
412,3070,,,,,
386,3081,,,,,
347,3091,,,,,
347,3101,,,,,
344,3112,,,,,
345,3123,,,,,
343,3133,,,,,
347,3143,,,,,
344,3153,,,,,
349,3164,,,,,
345,3175,,,,,
351,3185,,,,,
347,3195,,,,,
355,3206,,,,,
351,3216,,,,,
358,3226,,,,,
353,3236,,,,,
362,3248,,,,,
359,3258,,,,,
366,3268,,,,,
363,3278,,,,,
367,3289,,,,,
364,3299,,,,,
363,3310,,,,,
355,3320,,,,,
349,3331,,,,,
343,3341,,,,,
339,3351,,,,,
338,3361,,,,,
335,3373,,,,,
337,3383,,,,,
335,3393,,,,,
339,3403,,,,,
336,3414,,,,,
342,3424,,,,,
337,3434,,,,,
342,3445,,,,,
338,3456,,,,,
344,3466,,,,,
339,3476,,,,,
346,3486,,,,,
340,3496,,,,,
345,3508,,,,,
339,3518,,,,,
345,3528,,,,,
341,3538,,,,,
345,3549,,,,,
342,3559,,,,,
345,3569,,,,,
344,3580,,,,,
346,3591,,,,,
349,3601,,,,,
348,3611,,,,,
349,3621,,,,,
346,3632,,,,,
348,3643,,,,,
344,3653,,,,,
348,3663,,,,,
343,3674,,,,,
348,3684,,,,,
343,3694,,,,,
350,3705,,,,,
344,3716,,,,,
349,3726,,,,,
344,3736,,,,,
347,3746,,,,,
335,3757,,,,,
357,3767,,,,,
399,3778,,,,,
414,3788,,,,,
407,3799,,,,,
356,3809,,,,,
344,3819,,,,,
345,3829,,,,,
342,3841,,,,,
343,3851,,,,,
344,3861,,,,,
343,3871,,,,,
346,3881,,,,,
344,3892,,,,,
348,3902,,,,,
345,3913,,,,,
351,3923,,,,,
347,3934,,,,,
354,3944,,,,,
351,3954,,,,,
358,3964,,,,,
356,3976,,,,,
364,3986,,,,,
359,3996,,,,,
367,4006,,,,,
361,4017,,,,,
364,4027,,,,,
355,4038,,,,,
353,4048,,,,,
343,4059,,,,,
341,4069,,,,,
335,4079,,,,,
335,4089,,,,,
334,4100,,,,,
335,4111,,,,,
336,4121,,,,,
335,4131,,,,,
338,4142,,,,,
336,4152,,,,,
340,4162,,,,,
337,4173,,,,,
342,4184,,,,,
337,4194,,,,,
342,4204,,,,,
337,4214,,,,,
344,4225,,,,,
339,4235,,,,,
345,4246,,,,,
339,4256,,,,,
345,4267,,,,,
340,4277,,,,,
345,4287,,,,,
341,4297,,,,,
345,4308,,,,,
342,4319,,,,,
346,4329,,,,,
346,4339,,,,,
347,4349,,,,,
347,4360,,,,,
346,4371,,,,,
347,4381,,,,,
344,4391,,,,,
345,4402,,,,,
342,4412,,,,,
347,4422,,,,,
342,4432,,,,,
347,4444,,,,,
342,4454,,,,,
348,4464,,,,,
342,4474,,,,,
344,4485,,,,,
338,4495,,,,,
371,4506,,,,,
412,4516,,,,,
414,4527,,,,,
392,4537,,,,,
349,4547,,,,,
343,4557,,,,,
345,4568,,,,,
342,4579,,,,,
345,4589,,,,,
345,4599,,,,,
346,4610,,,,,
347,4620,,,,,
347,4630,,,,,
349,4641,,,,,
347,4652,,,,,
352,4662,,,,,
350,4672,,,,,
357,4682,,,,,
353,4692,,,,,
360,4704,,,,,
358,4714,,,,,
366,4724,,,,,
362,4734,,,,,
369,4745,,,,,
362,4755,,,,,
365,4765,,,,,
355,4776,,,,,
354,4787,,,,,
342,4797,,,,,
342,4807,,,,,
335,4817,,,,,
337,4828,,,,,
335,4839,,,,,
338,4849,,,,,
337,4859,,,,,
338,4870,,,,,
339,4880,,,,,
338,4890,,,,,
341,4900,,,,,
338,4912,,,,,
342,4922,,,,,
339,4932,,,,,
343,4942,,,,,
339,4953,,,,,
