EKG,T,,,,,
359,3206,,,,,
387,3216,,,,,
366,3226,,,,,
384,3236,,,,,
365,3248,,,,,
372,3258,,,,,
347,3268,,,,,
336,3278,,,,,
323,3289,,,,,
316,3299,,,,,
320,3310,,,,,
305,3320,,,,,
323,3331,,,,,
307,3341,,,,,
333,3351,,,,,
311,3361,,,,,
339,3373,,,,,
316,3383,,,,,
346,3393,,,,,
318,3403,,,,,
351,3414,,,,,
332,3424,,,,,
359,3434,,,,,
329,3445,,,,,
342,3456,,,,,
317,3466,,,,,
332,3476,,,,,
316,3486,,,,,
331,3496,,,,,
321,3508,,,,,
312,3518,,,,,
321,3528,,,,,
486,3538,,,,,
528,3549,,,,,
298,3559,,,,,
249,3569,,,,,
296,3580,,,,,
335,3591,,,,,
315,3601,,,,,
342,3611,,,,,
323,3621,,,,,
352,3632,,,,,
328,3643,,,,,
357,3653,,,,,
335,3663,,,,,
365,3674,,,,,
342,3684,,,,,
372,3694,,,,,
353,3705,,,,,
380,3716,,,,,
364,3726,,,,,
387,3736,,,,,
371,3746,,,,,
381,3757,,,,,
368,3767,,,,,
369,3778,,,,,
350,3788,,,,,
335,3799,,,,,
327,3809,,,,,
318,3819,,,,,
324,3829,,,,,
310,3841,,,,,
327,3851,,,,,
310,3861,,,,,
334,3871,,,,,
311,3881,,,,,
337,3892,,,,,
315,3902,,,,,
341,3913,,,,,
312,3923,,,,,
342,3934,,,,,
324,3944,,,,,
352,3954,,,,,
327,3964,,,,,
339,3976,,,,,
310,3986,,,,,
328,3996,,,,,
312,4006,,,,,
325,4017,,,,,
315,4027,,,,,
313,4038,,,,,
297,4048,,,,,
435,4059,,,,,
566,4069,,,,,
369,4079,,,,,
239,4089,,,,,
275,4100,,,,,
324,4111,,,,,
309,4121,,,,,
334,4131,,,,,
316,4142,,,,,
343,4152,,,,,
321,4162,,,,,
351,4173,,,,,
327,4184,,,,,
356,4194,,,,,
333,4204,,,,,
364,4214,,,,,
345,4225,,,,,
374,4235,,,,,
357,4246,,,,,
381,4256,,,,,
365,4267,,,,,
376,4277,,,,,
364,4287,,,,,
367,4297,,,,,
350,4308,,,,,
336,4319,,,,,
325,4329,,,,,
311,4339,,,,,
317,4349,,,,,
304,4360,,,,,
322,4371,,,,,
306,4381,,,,,
328,4391,,,,,
309,4402,,,,,
335,4412,,,,,
309,4422,,,,,
336,4432,,,,,
311,4444,,,,,
339,4454,,,,,
313,4464,,,,,
346,4474,,,,,
328,4485,,,,,
349,4495,,,,,
320,4506,,,,,
330,4516,,,,,
309,4527,,,,,
322,4537,,,,,
311,4547,,,,,
321,4557,,,,,
314,4568,,,,,
294,4579,,,,,
364,4589,,,,,
546,4599,,,,,
486,4610,,,,,
243,4620,,,,,
265,4630,,,,,
297,4641,,,,,
328,4652,,,,,
309,4662,,,,,
337,4672,,,,,
315,4682,,,,,
345,4692,,,,,
322,4704,,,,,
352,4714,,,,,
330,4724,,,,,
360,4734,,,,,
340,4745,,,,,
367,4755,,,,,
353,4765,,,,,
377,4776,,,,,
365,4787,,,,,
381,4797,,,,,
371,4807,,,,,
377,4817,,,,,
368,4828,,,,,
364,4839,,,,,
348,4849,,,,,
327,4859,,,,,
326,4870,,,,,
309,4880,,,,,
324,4890,,,,,
306,4900,,,,,
326,4912,,,,,
306,4922,,,,,
333,4932,,,,,
310,4942,,,,,
336,4953,,,,,
312,4963,,,,,
338,4974,,,,,
310,4984,,,,,
339,4995,,,,,
316,5005,,,,,
335,5015,,,,,
315,5025,,,,,
343,5037,,,,,
330,5047,,,,,
343,5057,,,,,
323,5067,,,,,
325,5078,,,,,
315,5088,,,,,
318,5098,,,,,
320,5109,,,,,
319,5120,,,,,
323,5130,,,,,
296,5140,,,,,
413,5150,,,,,
573,5160,,,,,
451,5172,,,,,
220,5182,,,,,
279,5192,,,,,
299,5202,,,,,
334,5213,,,,,
309,5223,,,,,
339,5233,,,,,
317,5244,,,,,
346,5255,,,,,
326,5265,,,,,
351,5275,,,,,
334,5285,,,,,
356,5296,,,,,
343,5307,,,,,
362,5317,,,,,
356,5327,,,,,
373,5338,,,,,
372,5348,,,,,
380,5358,,,,,
380,5369,,,,,
374,5380,,,,,
380,5390,,,,,
357,5400,,,,,
355,5410,,,,,
323,5421,,,,,
329,5431,,,,,
304,5442,,,,,
328,5452,,,,,
301,5463,,,,,
327,5473,,,,,
303,5483,,,,,
331,5493,,,,,
306,5505,,,,,
335,5515,,,,,
312,5525,,,,,
336,5535,,,,,
316,5545,,,,,
335,5556,,,,,
318,5566,,,,,
334,5577,,,,,
320,5587,,,,,
330,5598,,,,,
322,5608,,,,,
332,5618,,,,,
339,5628,,,,,
337,5640,,,,,
342,5650,,,,,
321,5660,,,,,
329,5670,,,,,
313,5681,,,,,
335,5691,,,,,
313,5702,,,,,
338,5712,,,,,
304,5723,,,,,
343,5733,,,,,
481,5743,,,,,
591,5753,,,,,
319,5764,,,,,
243,5775,,,,,
270,5785,,,,,
325,5795,,,,,
309,5806,,,,,
333,5816,,,,,
319,5826,,,,,
337,5837,,,,,
329,5848,,,,,
341,5858,,,,,
338,5868,,,,,
346,5878,,,,,
349,5889,,,,,
352,5899,,,,,
364,5910,,,,,
363,5920,,,,,
383,5931,,,,,
373,5941,,,,,
395,5951,,,,,
372,5961,,,,,
396,5972,,,,,
366,5983,,,,,
377,5993,,,,,
334,6003,,,,,
342,6013,,,,,
308,6024,,,,,
327,6035,,,,,
301,6045,,,,,
325,6055,,,,,
302,6066,,,,,
323,6076,,,,,
311,6086,,,,,
328,6096,,,,,
316,6108,,,,,
328,6118,,,,,
321,6128,,,,,
327,6138,,,,,
325,6149,,,,,
323,6159,,,,,
329,6170,,,,,
320,6180,,,,,
331,6191,,,,,
316,6201,,,,,
335,6211,,,,,
316,6221,,,,,
337,6232,,,,,
313,6243,,,,,
348,6253,,,,,
328,6263,,,,,
354,6274,,,,,
322,6284,,,,,
340,6294,,,,,
310,6305,,,,,
333,6316,,,,,
315,6326,,,,,
334,6336,,,,,
315,6346,,,,,
317,6356,,,,,
377,6368,,,,,
566,6378,,,,,
479,6388,,,,,
244,6398,,,,,
251,6409,,,,,
299,6419,,,,,
321,6429,,,,,
315,6440,,,,,
333,6451,,,,,
321,6461,,,,,
344,6471,,,,,
325,6481,,,,,
352,6492,,,,,
330,6503,,,,,
358,6513,,,,,
337,6523,,,,,
371,6534,,,,,
350,6544,,,,,
383,6554,,,,,
364,6564,,,,,
394,6576,,,,,
375,6586,,,,,
394,6596,,,,,
372,6606,,,,,
379,6617,,,,,
351,6627,,,,,
343,6638,,,,,
322,6648,,,,,
319,6659,,,,,
314,6669,,,,,
310,6679,,,,,
317,6689,,,,,
307,6701,,,,,
323,6711,,,,,
308,6721,,,,,
330,6731,,,,,
312,6742,,,,,
336,6752,,,,,
313,6762,,,,,
340,6773,,,,,
313,6784,,,,,
341,6794,,,,,
313,6804,,,,,
335,6814,,,,,
311,6824,,,,,
336,6836,,,,,
315,6846,,,,,
332,6856,,,,,
317,6866,,,,,
331,6877,,,,,
314,6887,,,,,
331,6897,,,,,
335,6908,,,,,
340,6919,,,,,
337,6929,,,,,
325,6939,,,,,
327,6949,,,,,
316,6960,,,,,
331,6971,,,,,
316,6981,,,,,
335,6991,,,,,
304,7002,,,,,
362,7012,,,,,
505,7022,,,,,
551,7033,,,,,
284,7044,,,,,
255,7054,,,,,
283,7064,,,,,
331,7074,,,,,
309,7085,,,,,
335,7095,,,,,
319,7106,,,,,
343,7116,,,,,
327,7127,,,,,
344,7137,,,,,
335,7147,,,,,
347,7157,,,,,
342,7169,,,,,
353,7179,,,,,
358,7189,,,,,
363,7199,,,,,
377,7209,,,,,
372,7220,,,,,
389,7230,,,,,
376,7241,,,,,
393,7251,,,,,
365,7262,,,,,
376,7272,,,,,
334,7282,,,,,
345,7292,,,,,
309,7304,,,,,
330,7314,,,,,
300,7324,,,,,
326,7334,,,,,
302,7345,,,,,
326,7355,,,,,
307,7366,,,,,
328,7376,,,,,
309,7387,,,,,
325,7397,,,,,
315,7407,,,,,
326,7417,,,,,
319,7428,,,,,
324,7439,,,,,
325,7449,,,,,
321,7459,,,,,
327,7470,,,,,
318,7480,,,,,
333,7490,,,,,
315,7501,,,,,
335,7512,,,,,
315,7522,,,,,
339,7532,,,,,
311,7542,,,,,
348,7553,,,,,
329,7563,,,,,
355,7574,,,,,
321,7584,,,,,
340,7595,,,,,
313,7605,,,,,
335,7615,,,,,
314,7625,,,,,
334,7636,,,,,
311,7647,,,,,
319,7657,,,,,
419,7667,,,,,
595,7677,,,,,
444,7688,,,,,
249,7699,,,,,
270,7709,,,,,
306,7719,,,,,
320,7730,,,,,
314,7740,,,,,
330,7750,,,,,
317,7760,,,,,
341,7772,,,,,
322,7782,,,,,
348,7792,,,,,
328,7802,,,,,
359,7813,,,,,
335,7823,,,,,
365,7834,,,,,
346,7844,,,,,
379,7855,,,,,
360,7865,,,,,
388,7875,,,,,
369,7885,,,,,
388,7896,,,,,
365,7907,,,,,
371,7917,,,,,
344,7927,,,,,
336,7938,,,,,
315,7948,,,,,
314,7958,,,,,
311,7969,,,,,
307,7980,,,,,
315,7990,,,,,
304,8000,,,,,
319,8010,,,,,
303,8020,,,,,
325,8032,,,,,
306,8042,,,,,
331,8052,,,,,
307,8062,,,,,
335,8073,,,,,
310,8083,,,,,
338,8093,,,,,
309,8104,,,,,
333,8115,,,,,
310,8125,,,,,
335,8135,,,,,
313,8145,,,,,
332,8156,,,,,
315,8167,,,,,
329,8177,,,,,
318,8187,,,,,
329,8198,,,,,
315,8208,,,,,
329,8218,,,,,
339,8228,,,,,
338,8240,,,,,
339,8250,,,,,
319,8260,,,,,
331,8270,,,,,
314,8281,,,,,
333,8291,,,,,
313,8302,,,,,
334,8312,,,,,
294,8323,,,,,
414,8333,,,,,
564,8343,,,,,
498,8353,,,,,
244,8365,,,,,
275,8375,,,,,
296,8385,,,,,
330,8395,,,,,
310,8406,,,,,
332,8416,,,,,
321,8426,,,,,
339,8437,,,,,
327,8448,,,,,
339,8458,,,,,
336,8468,,,,,
344,8478,,,,,
347,8488,,,,,
349,8500,,,,,
366,8510,,,,,
362,8520,,,,,
383,8530,,,,,
