EKG,T,,,,,
371,3206,,,,,
366,3216,,,,,
369,3226,,,,,
368,3236,,,,,
371,3248,,,,,
370,3258,,,,,
369,3268,,,,,
368,3278,,,,,
363,3289,,,,,
367,3299,,,,,
362,3310,,,,,
367,3320,,,,,
361,3331,,,,,
364,3341,,,,,
363,3351,,,,,
407,3361,,,,,
391,3373,,,,,
348,3383,,,,,
336,3393,,,,,
360,3403,,,,,
358,3414,,,,,
366,3424,,,,,
361,3434,,,,,
367,3445,,,,,
364,3456,,,,,
369,3466,,,,,
366,3476,,,,,
369,3486,,,,,
369,3496,,,,,
370,3508,,,,,
372,3518,,,,,
371,3528,,,,,
375,3538,,,,,
372,3549,,,,,
377,3559,,,,,
371,3569,,,,,
377,3580,,,,,
370,3591,,,,,
377,3601,,,,,
367,3611,,,,,
372,3621,,,,,
363,3632,,,,,
370,3643,,,,,
363,3653,,,,,
371,3663,,,,,
364,3674,,,,,
370,3684,,,,,
365,3694,,,,,
369,3705,,,,,
366,3716,,,,,
368,3726,,,,,
367,3736,,,,,
368,3746,,,,,
370,3757,,,,,
369,3767,,,,,
369,3778,,,,,
363,3788,,,,,
367,3799,,,,,
361,3809,,,,,
367,3819,,,,,
361,3829,,,,,
367,3841,,,,,
353,3851,,,,,
377,3861,,,,,
410,3871,,,,,
385,3881,,,,,
331,3892,,,,,
347,3902,,,,,
356,3913,,,,,
365,3923,,,,,
360,3934,,,,,
366,3944,,,,,
365,3954,,,,,
368,3964,,,,,
367,3976,,,,,
367,3986,,,,,
369,3996,,,,,
368,4006,,,,,
371,4017,,,,,
369,4027,,,,,
375,4038,,,,,
370,4048,,,,,
377,4059,,,,,
370,4069,,,,,
377,4079,,,,,
370,4089,,,,,
377,4100,,,,,
368,4111,,,,,
374,4121,,,,,
365,4131,,,,,
371,4142,,,,,
364,4152,,,,,
370,4162,,,,,
365,4173,,,,,
370,4184,,,,,
367,4194,,,,,
369,4204,,,,,
368,4214,,,,,
368,4225,,,,,
368,4235,,,,,
367,4246,,,,,
371,4256,,,,,
368,4267,,,,,
373,4277,,,,,
366,4287,,,,,
370,4297,,,,,
361,4308,,,,,
368,4319,,,,,
361,4329,,,,,
369,4339,,,,,
361,4349,,,,,
363,4360,,,,,
364,4371,,,,,
412,4381,,,,,
391,4391,,,,,
341,4402,,,,,
339,4412,,,,,
361,4422,,,,,
362,4432,,,,,
367,4444,,,,,
366,4454,,,,,
368,4464,,,,,
369,4474,,,,,
367,4485,,,,,
370,4495,,,,,
367,4506,,,,,
373,4516,,,,,
368,4527,,,,,
375,4537,,,,,
369,4547,,,,,
377,4557,,,,,
370,4568,,,,,
378,4579,,,,,
371,4589,,,,,
379,4599,,,,,
372,4610,,,,,
378,4620,,,,,
369,4630,,,,,
373,4641,,,,,
367,4652,,,,,
371,4662,,,,,
368,4672,,,,,
371,4682,,,,,
369,4692,,,,,
370,4704,,,,,
370,4714,,,,,
369,4724,,,,,
372,4734,,,,,
368,4745,,,,,
373,4755,,,,,
369,4765,,,,,
376,4776,,,,,
370,4787,,,,,
377,4797,,,,,
368,4807,,,,,
374,4817,,,,,
366,4828,,,,,
373,4839,,,,,
367,4849,,,,,
373,4859,,,,,
365,4870,,,,,
366,4880,,,,,
389,4890,,,,,
422,4900,,,,,
364,4912,,,,,
340,4922,,,,,
355,4932,,,,,
367,4942,,,,,
369,4953,,,,,
370,4963,,,,,
372,4974,,,,,
370,4984,,,,,
374,4995,,,,,
369,5005,,,,,
375,5015,,,,,
370,5025,,,,,
377,5037,,,,,
371,5047,,,,,
379,5057,,,,,
372,5067,,,,,
381,5078,,,,,
373,5088,,,,,
381,5098,,,,,
375,5109,,,,,
382,5120,,,,,
377,5130,,,,,
380,5140,,,,,
373,5150,,,,,
375,5160,,,,,
372,5172,,,,,
374,5182,,,,,
374,5192,,,,,
374,5202,,,,,
376,5213,,,,,
373,5223,,,,,
377,5233,,,,,
372,5244,,,,,
377,5255,,,,,
372,5265,,,,,
380,5275,,,,,
374,5285,,,,,
384,5296,,,,,
378,5307,,,,,
386,5317,,,,,
377,5327,,,,,
384,5338,,,,,
377,5348,,,,,
383,5358,,,,,
380,5369,,,,,
385,5380,,,,,
379,5390,,,,,
388,5400,,,,,
425,5410,,,,,
429,5421,,,,,
369,5431,,,,,
362,5442,,,,,
