EKG,T,,,,,
243,2,86.98926756,0.053183681,11.68831169,0.041833001,0
244,3,,,,,
246,4,,,,,
247,5,,,,,
248,6,,,,,
248,7,,,,,
249,8,,,,,
250,9,,,,,
251,10,,,,,
250,11,,,,,
257,19,,,,,
258,27,,,,,
265,35,,,,,
266,45,,,,,
279,53,,,,,
287,61,,,,,
299,69,,,,,
297,77,,,,,
307,86,,,,,
303,94,,,,,
309,102,,,,,
305,112,,,,,
310,121,,,,,
314,131,,,,,
313,140,,,,,
315,149,,,,,
319,158,,,,,
323,167,,,,,
328,178,,,,,
336,187,,,,,
331,196,,,,,
341,205,,,,,
401,215,,,,,
455,224,,,,,
435,233,,,,,
367,242,,,,,
356,252,,,,,
351,262,,,,,
356,271,,,,,
350,280,,,,,
353,289,,,,,
357,299,,,,,
363,308,,,,,
359,318,,,,,
365,327,,,,,
374,336,,,,,
366,346,,,,,
376,355,,,,,
376,364,,,,,
379,373,,,,,
379,384,,,,,
378,393,,,,,
388,402,,,,,
391,411,,,,,
390,420,,,,,
390,430,,,,,
399,439,,,,,
394,449,,,,,
402,458,,,,,
397,467,,,,,
401,477,,,,,
399,486,,,,,
406,495,,,,,
399,504,,,,,
397,515,,,,,
399,524,,,,,
383,533,,,,,
377,542,,,,,
384,551,,,,,
379,561,,,,,
379,570,,,,,
376,580,,,,,
375,589,,,,,
375,599,,,,,
372,608,,,,,
384,617,,,,,
387,626,,,,,
384,635,,,,,
383,646,,,,,
376,655,,,,,
378,664,,,,,
381,673,,,,,
380,683,,,,,
383,692,,,,,
379,701,,,,,
372,711,,,,,
375,720,,,,,
378,730,,,,,
374,739,,,,,
371,748,,,,,
374,757,,,,,
373,766,,,,,
381,777,,,,,
385,786,,,,,
377,795,,,,,
371,804,,,,,
362,814,,,,,
352,823,,,,,
366,832,,,,,
358,841,,,,,
349,851,,,,,
359,861,,,,,
359,870,,,,,
358,879,,,,,
353,888,,,,,
337,898,,,,,
364,907,,,,,
428,917,,,,,
458,926,,,,,
421,935,,,,,
369,945,,,,,
341,954,,,,,
336,963,,,,,
341,972,,,,,
332,983,,,,,
346,992,,,,,
340,1001,,,,,
334,1011,,,,,
340,1021,,,,,
343,1032,,,,,
344,1043,,,,,
342,1053,,,,,
345,1063,,,,,
344,1074,,,,,
351,1084,,,,,
346,1094,,,,,
341,1104,,,,,
357,1116,,,,,
354,1126,,,,,
352,1136,,,,,
346,1146,,,,,
360,1157,,,,,
357,1167,,,,,
355,1178,,,,,
363,1188,,,,,
362,1199,,,,,
354,1209,,,,,
340,1219,,,,,
339,1229,,,,,
345,1240,,,,,
335,1251,,,,,
337,1261,,,,,
330,1271,,,,,
331,1282,,,,,
333,1292,,,,,
336,1302,,,,,
328,1313,,,,,
330,1324,,,,,
320,1334,,,,,
334,1344,,,,,
339,1354,,,,,
340,1364,,,,,
335,1376,,,,,
333,1386,,,,,
331,1396,,,,,
323,1406,,,,,
333,1417,,,,,
335,1427,,,,,
332,1437,,,,,
328,1448,,,,,
335,1459,,,,,
334,1469,,,,,
339,1479,,,,,
336,1489,,,,,
340,1500,,,,,
339,1511,,,,,
334,1521,,,,,
323,1531,,,,,
323,1542,,,,,
321,1552,,,,,
321,1562,,,,,
313,1572,,,,,
318,1584,,,,,
309,1594,,,,,
303,1604,,,,,
310,1614,,,,,
328,1625,,,,,
401,1635,,,,,
429,1646,,,,,
357,1656,,,,,
315,1667,,,,,
307,1677,,,,,
300,1687,,,,,
302,1697,,,,,
303,1709,,,,,
303,1719,,,,,
294,1729,,,,,
304,1739,,,,,
