EKG,T,,,,,0
317,14824,,,,,
319,14835,,,,,
317,14846,,,,,
297,14858,,,,,
331,14869,,,,,
604,14880,,,,,
627,14893,,,,,
273,14904,,,,,
254,14915,,,,,
302,14926,,,,,
314,14938,,,,,
315,14949,,,,,
320,14961,,,,,
327,14972,,,,,
331,14984,,,,,
339,14995,,,,,
342,15006,,,,,
351,15017,,,,,
357,15030,,,,,
368,15041,,,,,
377,15052,,,,,
384,15064,,,,,
392,15075,,,,,
391,15087,,,,,
384,15098,,,,,
371,15110,,,,,
353,15121,,,,,
336,15132,,,,,
317,15143,,,,,
311,15156,,,,,
308,15167,,,,,
310,15178,,,,,
308,15190,,,,,
310,15201,,,,,
313,15212,,,,,
312,15224,,,,,
317,15236,,,,,
318,15247,,,,,
321,15258,,,,,
321,15269,,,,,
323,15281,,,,,
324,15293,,,,,
325,15304,,,,,
338,15315,,,,,
340,15327,,,,,
337,15338,,,,,
331,15349,,,,,
323,15362,,,,,
322,15373,,,,,
321,15384,,,,,
322,15395,,,,,
324,15407,,,,,
322,15418,,,,,
291,15430,,,,,
445,15441,,,,,
661,15453,,,,,
455,15464,,,,,
250,15475,,,,,
288,15488,,,,,
322,15499,,,,,
325,15510,,,,,
330,15521,,,,,
336,15533,,,,,
343,15544,,,,,
349,15556,,,,,
353,15567,,,,,
362,15579,,,,,
371,15590,,,,,
381,15601,,,,,
389,15612,,,,,
400,15625,,,,,
410,15636,,,,,
412,15647,,,,,
411,15659,,,,,
401,15670,,,,,
386,15681,,,,,
367,15693,,,,,
350,15705,,,,,
341,15716,,,,,
335,15727,,,,,
338,15738,,,,,
336,15750,,,,,
337,15762,,,,,
343,15773,,,,,
341,15784,,,,,
347,15796,,,,,
347,15807,,,,,
353,15819,,,,,
357,15831,,,,,
364,15842,,,,,
366,15853,,,,,
362,15864,,,,,
376,15876,,,,,
383,15888,,,,,
381,15899,,,,,
376,15910,,,,,
366,15922,,,,,
365,15933,,,,,
361,15944,,,,,
366,15956,,,,,
366,15968,,,,,
366,15979,,,,,
338,15990,,,,,
418,16002,,,,,
661,16013,,,,,
591,16025,,,,,
262,16036,,,,,
294,16048,,,,,
348,16059,,,,,
359,16070,,,,,
365,16081,,,,,
372,16094,,,,,
372,16105,,,,,
379,16116,,,,,
382,16128,,,,,
389,16139,,,,,
395,16150,,,,,
404,16162,,,,,
416,16174,,,,,
419,16185,,,,,
431,16196,,,,,
432,16207,,,,,
431,16220,,,,,
422,16231,,,,,
405,16242,,,,,
386,16253,,,,,
359,16265,,,,,
346,16276,,,,,
337,16288,,,,,
334,16300,,,,,
333,16311,,,,,
330,16322,,,,,
331,16333,,,,,
329,16345,,,,,
333,16357,,,,,
334,16368,,,,,
339,16379,,,,,
339,16391,,,,,
341,16402,,,,,
340,16413,,,,,
339,16425,,,,,
348,16437,,,,,
349,16448,,,,,
345,16459,,,,,
340,16471,,,,,
331,16482,,,,,
324,16494,,,,,
323,16505,,,,,
323,16517,,,,,
323,16528,,,,,
320,16539,,,,,
292,16551,,,,,
394,16563,,,,,
660,16574,,,,,
487,16585,,,,,
209,16596,,,,,
257,16608,,,,,
302,16620,,,,,
311,16631,,,,,
315,16643,,,,,
319,16654,,,,,
322,16665,,,,,
330,16676,,,,,
333,16689,,,,,
341,16700,,,,,
347,16711,,,,,
354,16722,,,,,
365,16734,,,,,
372,16745,,,,,
380,16757,,,,,
382,16769,,,,,
381,16780,,,,,
370,16791,,,,,
355,16802,,,,,
335,16814,,,,,
311,16826,,,,,
300,16837,,,,,
292,16848,,,,,
292,16860,,,,,
290,16871,,,,,
288,16882,,,,,
291,16894,,,,,
292,16906,,,,,
295,16917,,,,,
296,16928,,,,,
301,16940,,,,,
304,16952,,,,,
305,16963,,,,,
307,16974,,,,,
309,16986,,,,,
319,16997,,,,,
318,17008,,,,,
316,17020,,,,,
306,17032,,,,,
298,17043,,,,,
299,17054,,,,,
297,17065,,,,,
299,17077,,,,,
297,17089,,,,,
290,17100,,,,,
273,17112,,,,,
465,17123,,,,,
657,17134,,,,,
338,17145,,,,,
215,17158,,,,,
265,17169,,,,,
291,17180,,,,,
295,17191,,,,,
303,17203,,,,,
308,17214,,,,,
312,17226,,,,,
318,17238,,,,,
321,17249,,,,,
327,17260,,,,,
334,17271,,,,,
343,17284,,,,,
354,17295,,,,,
362,17306,,,,,
368,17317,,,,,
369,17329,,,,,
366,17340,,,,,
357,17352,,,,,
337,17363,,,,,
317,17375,,,,,
299,17386,,,,,
294,17397,,,,,
287,17409,,,,,
287,17421,,,,,
288,17432,,,,,
287,17443,,,,,
292,17455,,,,,
293,17466,,,,,
297,17477,,,,,
297,17489,,,,,
300,17501,,,,,
302,17512,,,,,
303,17523,,,,,
303,17534,,,,,
309,17546,,,,,
320,17558,,,,,
318,17569,,,,,
315,17581,,,,,
305,17592,,,,,
302,17603,,,,,
298,17614,,,,,
298,17627,,,,,
300,17638,,,,,
300,17649,,,,,
287,17660,,,,,
284,17672,,,,,
522,17684,,,,,
649,17695,,,,,
299,17707,,,,,
230,17718,,,,,
279,17729,,,,,
296,17740,,,,,
299,17753,,,,,
303,17764,,,,,
313,17775,,,,,
313,17786,,,,,
320,17798,,,,,
324,17809,,,,,
332,17821,,,,,
341,17832,,,,,
349,17844,,,,,
361,17855,,,,,
367,17866,,,,,
374,17878,,,,,
372,17890,,,,,
368,17901,,,,,
357,17912,,,,,
339,17924,,,,,
320,17935,,,,,
305,17946,,,,,
301,17958,,,,,
295,17970,,,,,
295,17981,,,,,
297,17992,,,,,
298,18003,,,,,
302,18016,,,,,
304,18027,,,,,
308,18038,,,,,
308,18050,,,,,
311,18061,,,,,
314,18072,,,,,
315,18084,,,,,
320,18096,,,,,
320,18107,,,,,
334,18118,,,,,
337,18129,,,,,
335,18141,,,,,
331,18153,,,,,
322,18164,,,,,
323,18176,,,,,
323,18187,,,,,
326,18198,,,,,
328,18209,,,,,
329,18222,,,,,
302,18233,,,,,
391,18244,,,,,
660,18255,,,,,
579,18267,,,,,
273,18278,,,,,
291,18290,,,,,
333,18301,,,,,
339,18313,,,,,
347,18324,,,,,
357,18335,,,,,
363,18347,,,,,
371,18359,,,,,
376,18370,,,,,
384,18381,,,,,
394,18393,,,,,
402,18404,,,,,
416,18416,,,,,
423,18427,,,,,
436,18439,,,,,
438,18450,,,,,
438,18461,,,,,
433,18472,,,,,
418,18485,,,,,
402,18496,,,,,
381,18507,,,,,
372,18519,,,,,
367,18530,,,,,
366,18541,,,,,
367,18553,,,,,
368,18565,,,,,
373,18576,,,,,
374,18587,,,,,
377,18598,,,,,
379,18610,,,,,
382,18622,,,,,
383,18633,,,,,
384,18644,,,,,
387,18656,,,,,
385,18667,,,,,
385,18678,,,,,
396,18691,,,,,
401,18702,,,,,
396,18713,,,,,
391,18724,,,,,
382,18736,,,,,
376,18748,,,,,
374,18759,,,,,
372,18770,,,,,
374,18782,,,,,
373,18793,,,,,
349,18804,,,,,
391,18817,,,,,
659,18828,,,,,
656,18839,,,,,
327,18850,,,,,
308,18862,,,,,
353,18873,,,,,
360,18885,,,,,
365,18896,,,,,
369,18908,,,,,
376,18919,,,,,
378,18930,,,,,
381,18941,,,,,
386,18954,,,,,
391,18965,,,,,
400,18976,,,,,
405,18988,,,,,
416,18999,,,,,
419,19010,,,,,
421,19022,,,,,
420,19034,,,,,
412,19045,,,,,
398,19056,,,,,
375,19067,,,,,
355,19079,,,,,
336,19091,,,,,
328,19102,,,,,
323,19113,,,,,
321,19125,,,,,
323,19136,,,,,
323,19148,,,,,
323,19160,,,,,
323,19171,,,,,
325,19182,,,,,
325,19193,,,,,
323,19205,,,,,
325,19217,,,,,
324,19228,,,,,
325,19239,,,,,
320,19251,,,,,
329,19262,,,,,
333,19273,,,,,
329,19286,,,,,
322,19297,,,,,
311,19308,,,,,
307,19319,,,,,
306,19331,,,,,
305,19342,,,,,
302,19354,,,,,
301,19365,,,,,
280,19377,,,,,
325,19388,,,,,
611,19399,,,,,
554,19410,,,,,
213,19423,,,,,
232,19434,,,,,
283,19445,,,,,
294,19457,,,,,
295,19468,,,,,
303,19480,,,,,
307,19491,,,,,
313,19503,,,,,
320,19514,,,,,
323,19525,,,,,
331,19536,,,,,
337,19549,,,,,
349,19560,,,,,
359,19571,,,,,
368,19582,,,,,
372,19594,,,,,
368,19605,,,,,
363,19617,,,,,
350,19629,,,,,
329,19640,,,,,
306,19651,,,,,
293,19662,,,,,
283,19674,,,,,
279,19686,,,,,
282,19697,,,,,
279,19708,,,,,
282,19720,,,,,
286,19731,,,,,
286,19742,,,,,
289,19755,,,,,
290,19766,,,,,
294,19777,,,,,
294,19788,,,,,
296,19800,,,,,
295,19811,,,,,
305,19823,,,,,
307,19834,,,,,
306,19846,,,,,
300,19857,,,,,
289,19868,,,,,
289,19880,,,,,
290,19892,,,,,
288,19903,,,,,
290,19914,,,,,
289,19926,,,,,
263,19937,,,,,
340,19949,,,,,
637,19960,,,,,
506,19972,,,,,
200,19983,,,,,
231,19994,,,,,
275,20005,,,,,
289,20018,,,,,
291,20029,,,,,
298,20040,,,,,
305,20051,,,,,
308,20063,,,,,
315,20074,,,,,
321,20086,,,,,
329,20098,,,,,
335,20109,,,,,
346,20120,,,,,
352,20131,,,,,
356,20143,,,,,
363,20155,,,,,
359,20166,,,,,
355,20177,,,,,
339,20189,,,,,
319,20200,,,,,
299,20212,,,,,
282,20224,,,,,
280,20235,,,,,
278,20246,,,,,
277,20257,,,,,
274,20269,,,,,
279,20281,,,,,
280,20292,,,,,
282,20303,,,,,
285,20315,,,,,
287,20326,,,,,
293,20337,,,,,
295,20349,,,,,
297,20361,,,,,
304,20372,,,,,
309,20383,,,,,
309,20395,,,,,
299,20406,,,,,
291,20418,,,,,
286,20429,,,,,
288,20441,,,,,
287,20452,,,,,
287,20463,,,,,
288,20474,,,,,
263,20487,,,,,
318,20498,,,,,
594,20509,,,,,
538,20520,,,,,
204,20532,,,,,
226,20543,,,,,
277,20555,,,,,
289,20567,,,,,
297,20578,,,,,
299,20589,,,,,
304,20600,,,,,
308,20613,,,,,
309,20624,,,,,
319,20635,,,,,
325,20646,,,,,
334,20658,,,,,
342,20669,,,,,
354,20681,,,,,
359,20692,,,,,
366,20704,,,,,
366,20715,,,,,
359,20726,,,,,
345,20738,,,,,
326,20750,,,,,
307,20761,,,,,
293,20772,,,,,
290,20784,,,,,
287,20795,,,,,
286,20806,,,,,
288,20818,,,,,
289,20830,,,,,
293,20841,,,,,
296,20852,,,,,
300,20864,,,,,
305,20875,,,,,
307,20887,,,,,
307,20898,,,,,
312,20910,,,,,
323,20921,,,,,
325,20932,,,,,
324,20944,,,,,
316,20956,,,,,
307,20967,,,,,
305,20978,,,,,
305,20989,,,,,
305,21001,,,,,
306,21013,,,,,
297,21024,,,,,
271,21036,,,,,
455,21047,,,,,
659,21058,,,,,
374,21069,,,,,
225,21082,,,,,
274,21093,,,,,
299,21104,,,,,
303,21115,,,,,
307,21127,,,,,
313,21138,,,,,
316,21150,,,,,
324,21161,,,,,
329,21173,,,,,
336,21184,,,,,
346,21195,,,,,
351,21207,,,,,
364,21219,,,,,
372,21230,,,,,
379,21241,,,,,
379,21253,,,,,
374,21264,,,,,
367,21275,,,,,
349,21287,,,,,
333,21299,,,,,
316,21310,,,,,
307,21321,,,,,
304,21332,,,,,
304,21345,,,,,
306,21356,,,,,
306,21367,,,,,
312,21379,,,,,
313,21390,,,,,
315,21401,,,,,
317,21413,,,,,
321,21425,,,,,
326,21436,,,,,
323,21447,,,,,
333,21458,,,,,
339,21470,,,,,
340,21482,,,,,
332,21493,,,,,
323,21505,,,,,
320,21516,,,,,
318,21527,,,,,
321,21538,,,,,
319,21551,,,,,
321,21562,,,,,
299,21573,,,,,
315,21584,,,,,
580,21596,,,,,
637,21607,,,,,
283,21619,,,,,
250,21630,,,,,
301,21642,,,,,
313,21653,,,,,
318,21664,,,,,
323,21677,,,,,
327,21688,,,,,
334,21699,,,,,
337,21710,,,,,
343,21722,,,,,
351,21733,,,,,
355,21745,,,,,
368,21756,,,,,
374,21768,,,,,
383,21779,,,,,
385,21790,,,,,
386,21801,,,,,
380,21814,,,,,
367,21825,,,,,
352,21836,,,,,
331,21848,,,,,
320,21859,,,,,
312,21870,,,,,
311,21882,,,,,
312,21894,,,,,
311,21905,,,,,
316,21916,,,,,
314,21927,,,,,
319,21939,,,,,
319,21951,,,,,
321,21962,,,,,
324,21974,,,,,
325,21985,,,,,
323,21996,,,,,
335,22007,,,,,
342,22020,,,,,
337,22031,,,,,
333,22042,,,,,
323,22053,,,,,
318,22065,,,,,
321,22077,,,,,
319,22088,,,,,
321,22099,,,,,
322,22111,,,,,
293,22122,,,,,
338,22133,,,,,
619,22146,,,,,
601,22157,,,,,
261,22168,,,,,
263,22179,,,,,
307,22191,,,,,
317,22202,,,,,
321,22214,,,,,
325,22225,,,,,
333,22237,,,,,
336,22248,,,,,
341,22259,,,,,
347,22270,,,,,
354,22283,,,,,
360,22294,,,,,
369,22305,,,,,
379,22317,,,,,
385,22328,,,,,
389,22339,,,,,
386,22351,,,,,
379,22363,,,,,
368,22374,,,,,
350,22385,,,,,
333,22396,,,,,
319,22409,,,,,
314,22420,,,,,
313,22431,,,,,
315,22443,,,,,
314,22454,,,,,
315,22465,,,,,
317,22477,,,,,
319,22489,,,,,
321,22500,,,,,
321,22511,,,,,
323,22522,,,,,
326,22534,,,,,
329,22546,,,,,
327,22557,,,,,
335,22568,,,,,
344,22580,,,,,
340,22591,,,,,
333,22602,,,,,
324,22615,,,,,
319,22626,,,,,
321,22637,,,,,
319,22648,,,,,
321,22660,,,,,
320,22671,,,,,
291,22683,,,,,
362,22694,,,,,
650,22706,,,,,
561,22717,,,,,
244,22728,,,,,
266,22739,,,,,
308,22752,,,,,
315,22763,,,,,
321,22774,,,,,
326,22786,,,,,
331,22797,,,,,
334,22809,,,,,
340,22820,,,,,
345,22832,,,,,
352,22843,,,,,
360,22854,,,,,
368,22865,,,,,
377,22878,,,,,
382,22889,,,,,
388,22900,,,,,
385,22912,,,,,
377,22923,,,,,
365,22934,,,,,
347,22946,,,,,
330,22958,,,,,
313,22969,,,,,
310,22980,,,,,
309,22991,,,,,
309,23003,,,,,
310,23015,,,,,
311,23026,,,,,
317,23037,,,,,
316,23049,,,,,
320,23060,,,,,
319,23071,,,,,
322,23084,,,,,
321,23095,,,,,
325,23106,,,,,
325,23117,,,,,
326,23129,,,,,
339,23141,,,,,
341,23152,,,,,
335,23163,,,,,
323,23175,,,,,
317,23186,,,,,
315,23197,,,,,
317,23209,,,,,
317,23221,,,,,
317,23232,,,,,
308,23243,,,,,
293,23255,,,,,
502,23266,,,,,
658,23278,,,,,
331,23289,,,,,
233,23301,,,,,
286,23312,,,,,
312,23323,,,,,
316,23334,,,,,
321,23347,,,,,
330,23358,,,,,
333,23369,,,,,
337,23380,,,,,
343,23392,,,,,
350,23403,,,,,
356,23415,,,,,
363,23427,,,,,
376,23438,,,,,
381,23449,,,,,
385,23460,,,,,
387,23472,,,,,
380,23484,,,,,
373,23495,,,,,
357,23506,,,,,
338,23518,,,,,
321,23529,,,,,
315,23541,,,,,
310,23553,,,,,
309,23564,,,,,
310,23575,,,,,
311,23586,,,,,
314,23598,,,,,
313,23610,,,,,
318,23621,,,,,
320,23632,,,,,
320,23644,,,,,
321,23655,,,,,
324,23666,,,,,
324,23678,,,,,
325,23690,,,,,
338,23701,,,,,
339,23712,,,,,
332,23724,,,,,
322,23735,,,,,
315,23747,,,,,
315,23758,,,,,
312,23770,,,,,
317,23781,,,,,
316,23792,,,,,
310,23803,,,,,
287,23816,,,,,
467,23827,,,,,
660,23838,,,,,
375,23849,,,,,
232,23861,,,,,
283,23873,,,,,
311,23884,,,,,
315,23896,,,,,
320,23907,,,,,
327,23918,,,,,
331,23929,,,,,
336,23942,,,,,
341,23953,,,,,
348,23964,,,,,
354,23975,,,,,
361,23987,,,,,
371,23998,,,,,
377,24010,,,,,
386,24022,,,,,
385,24033,,,,,
380,24044,,,,,
371,24055,,,,,
355,24067,,,,,
339,24079,,,,,
323,24090,,,,,
314,24101,,,,,
308,24113,,,,,
309,24124,,,,,
308,24135,,,,,
309,24147,,,,,
313,24159,,,,,
312,24170,,,,,
316,24181,,,,,
315,24193,,,,,
319,24204,,,,,
320,24216,,,,,
320,24227,,,,,
325,24239,,,,,
321,24250,,,,,
327,24261,,,,,
337,24273,,,,,
339,24285,,,,,
336,24296,,,,,
324,24307,,,,,
319,24318,,,,,
315,24330,,,,,
318,24342,,,,,
317,24353,,,,,
317,24365,,,,,
305,24376,,,,,
306,24387,,,,,
543,24398,,,,,
653,24411,,,,,
305,24422,,,,,
241,24433,,,,,
296,24444,,,,,
315,24456,,,,,
319,24467,,,,,
323,24479,,,,,
328,24491,,,,,
334,24502,,,,,
338,24513,,,,,
343,24524,,,,,
350,24536,,,,,
356,24548,,,,,
367,24559,,,,,
373,24570,,,,,
383,24582,,,,,
385,24593,,,,,
387,24605,,,,,
381,24616,,,,,
367,24628,,,,,
354,24639,,,,,
335,24650,,,,,
319,24662,,,,,
310,24674,,,,,
306,24685,,,,,
307,24696,,,,,
308,24708,,,,,
311,24719,,,,,
312,24730,,,,,
315,24742,,,,,
317,24754,,,,,
318,24765,,,,,
321,24776,,,,,
320,24787,,,,,
325,24799,,,,,
324,24811,,,,,
323,24822,,,,,
334,24834,,,,,
337,24845,,,,,
336,24856,,,,,
324,24867,,,,,
318,24880,,,,,
315,24891,,,,,
317,24902,,,,,
317,24913,,,,,
317,24925,,,,,
313,24936,,,,,
283,24948,,,,,
420,24960,,,,,
660,24971,,,,,
434,24982,,,,,
224,24993,,,,,
275,25006,,,,,
312,25017,,,,,
315,25028,,,,,
323,25039,,,,,
326,25051,,,,,
332,25062,,,,,
338,25074,,,,,
340,25085,,,,,
347,25097,,,,,
353,25108,,,,,
364,25119,,,,,
371,25131,,,,,
381,25143,,,,,
386,25154,,,,,
384,25165,,,,,
383,25177,,,,,
374,25188,,,,,
361,25199,,,,,
341,25211,,,,,
326,25223,,,,,
316,25234,,,,,
310,25245,,,,,
309,25256,,,,,
309,25268,,,,,
311,25280,,,,,
312,25291,,,,,
313,25303,,,,,
318,25314,,,,,
319,25325,,,,,
322,25337,,,,,
323,25349,,,,,
327,25360,,,,,
323,25371,,,,,
329,25382,,,,,
339,25394,,,,,
339,25406,,,,,
336,25417,,,,,
323,25428,,,,,
318,25440,,,,,
318,25451,,,,,
319,25462,,,,,
321,25475,,,,,
319,25486,,,,,
303,25497,,,,,
309,25508,,,,,
554,25520,,,,,
634,25531,,,,,
284,25543,,,,,
248,25554,,,,,
302,25566,,,,,
318,25577,,,,,
320,25588,,,,,
325,25600,,,,,
330,25612,,,,,
335,25623,,,,,
340,25634,,,,,
344,25646,,,,,
352,25657,,,,,
358,25668,,,,,
366,25680,,,,,
375,25692,,,,,
384,25703,,,,,
384,25714,,,,,
383,25725,,,,,
378,25738,,,,,
365,25749,,,,,
350,25760,,,,,
333,25772,,,,,
320,25783,,,,,
312,25794,,,,,
309,25806,,,,,
313,25818,,,,,
311,25829,,,,,
313,25840,,,,,
311,25851,,,,,
317,25863,,,,,
318,25875,,,,,
321,25886,,,,,
326,25897,,,,,
323,25909,,,,,
332,25920,,,,,
339,25931,,,,,
340,25944,,,,,
333,25955,,,,,
322,25966,,,,,
320,25977,,,,,
315,25989,,,,,
317,26000,,,,,
317,26012,,,,,
319,26023,,,,,
296,26035,,,,,
308,26046,,,,,
567,26057,,,,,
611,26070,,,,,
261,26081,,,,,
247,26092,,,,,
306,26103,,,,,
315,26115,,,,,
318,26126,,,,,
324,26138,,,,,
326,26149,,,,,
333,26161,,,,,
339,26172,,,,,
344,26183,,,,,
351,26194,,,,,
356,26207,,,,,
366,26218,,,,,
373,26229,,,,,
380,26241,,,,,
379,26252,,,,,
381,26263,,,,,
375,26275,,,,,
362,26287,,,,,
348,26298,,,,,
329,26309,,,,,
317,26320,,,,,
310,26332,,,,,
307,26344,,,,,
307,26355,,,,,
309,26366,,,,,
312,26378,,,,,
314,26389,,,,,
319,26400,,,,,
317,26413,,,,,
323,26424,,,,,
326,26435,,,,,
324,26446,,,,,
334,26458,,,,,
339,26470,,,,,
342,26481,,,,,
334,26492,,,,,
321,26504,,,,,
317,26515,,,,,
318,26526,,,,,
320,26539,,,,,
318,26550,,,,,
320,26561,,,,,
296,26572,,,,,
312,26584,,,,,
580,26595,,,,,
607,26607,,,,,
262,26618,,,,,
254,26630,,,,,
308,26641,,,,,
317,26652,,,,,
322,26663,,,,,
328,26676,,,,,
332,26687,,,,,
340,26698,,,,,
342,26710,,,,,
349,26721,,,,,
354,26732,,,,,
363,26744,,,,,
371,26756,,,,,
379,26767,,,,,
384,26778,,,,,
385,26789,,,,,
384,26802,,,,,
378,26813,,,,,
371,26824,,,,,
355,26835,,,,,
337,26847,,,,,
326,26858,,,,,
320,26870,,,,,
319,26882,,,,,
318,26893,,,,,
321,26904,,,,,
323,26915,,,,,
325,26927,,,,,
329,26939,,,,,
327,26950,,,,,
334,26961,,,,,
336,26973,,,,,
335,26984,,,,,
346,26995,,,,,
350,27008,,,,,
350,27019,,,,,
339,27030,,,,,
331,27041,,,,,
326,27053,,,,,
325,27064,,,,,
326,27076,,,,,
326,27087,,,,,
329,27099,,,,,
292,27110,,,,,
369,27121,,,,,
650,27132,,,,,
509,27145,,,,,
228,27156,,,,,
261,27167,,,,,
303,27179,,,,,
306,27190,,,,,
313,27202,,,,,
318,27213,,,,,
324,27225,,,,,
330,27236,,,,,
334,27247,,,,,
342,27258,,,,,
348,27271,,,,,
358,27282,,,,,
366,27293,,,,,
373,27304,,,,,
379,27316,,,,,
379,27327,,,,,
378,27339,,,,,
371,27351,,,,,
359,27362,,,,,
343,27373,,,,,
328,27384,,,,,
319,27396,,,,,
313,27408,,,,,
312,27419,,,,,
311,27430,,,,,
314,27442,,,,,
315,27453,,,,,
320,27464,,,,,
322,27476,,,,,
323,27488,,,,,
330,27499,,,,,
328,27510,,,,,
329,27522,,,,,
337,27534,,,,,
340,27545,,,,,
339,27556,,,,,
330,27568,,,,,
322,27579,,,,,
318,27590,,,,,
319,27602,,,,,
318,27614,,,,,
320,27625,,,,,
313,27636,,,,,
277,27648,,,,,
409,27659,,,,,
660,27671,,,,,
435,27682,,,,,
233,27694,,,,,
281,27705,,,,,
314,27716,,,,,
315,27727,,,,,
322,27740,,,,,
327,27751,,,,,
333,27762,,,,,
337,27773,,,,,
342,27785,,,,,
350,27796,,,,,
357,27808,,,,,
363,27820,,,,,
368,27831,,,,,
378,27842,,,,,
380,27853,,,,,
379,27865,,,,,
377,27877,,,,,
368,27888,,,,,
356,27899,,,,,
339,27911,,,,,
324,27922,,,,,
312,27934,,,,,
309,27945,,,,,
308,27957,,,,,
308,27968,,,,,
315,27979,,,,,
312,27991,,,,,
314,28003,,,,,
316,28014,,,,,
315,28025,,,,,
321,28037,,,,,
323,28048,,,,,
324,28059,,,,,
333,28071,,,,,
337,28083,,,,,
330,28094,,,,,
321,28105,,,,,
315,28116,,,,,
313,28128,,,,,
313,28140,,,,,
313,28151,,,,,
316,28163,,,,,
306,28174,,,,,
275,28185,,,,,
436,28196,,,,,
660,28209,,,,,
392,28220,,,,,
212,28231,,,,,
270,28242,,,,,
303,28254,,,,,
309,28266,,,,,
315,28277,,,,,
321,28289,,,,,
329,28300,,,,,
331,28311,,,,,
337,28322,,,,,
343,28335,,,,,
348,28346,,,,,
360,28357,,,,,
365,28368,,,,,
376,28380,,,,,
379,28391,,,,,
379,28403,,,,,
376,28414,,,,,
367,28426,,,,,
350,28437,,,,,
330,28448,,,,,
315,28460,,,,,
305,28472,,,,,
302,28483,,,,,
300,28494,,,,,
302,28506,,,,,
303,28517,,,,,
305,28528,,,,,
307,28540,,,,,
309,28552,,,,,
316,28563,,,,,
320,28574,,,,,
317,28585,,,,,
325,28597,,,,,
332,28609,,,,,
334,28620,,,,,
326,28632,,,,,
315,28643,,,,,
311,28654,,,,,
311,28666,,,,,
313,28678,,,,,
312,28689,,,,,
311,28700,,,,,
280,28711,,,,,
353,28723,,,,,
646,28735,,,,,
518,28746,,,,,
216,28758,,,,,
252,28769,,,,,
299,28780,,,,,
306,28791,,,,,
312,28804,,,,,
319,28815,,,,,
325,28826,,,,,
328,28837,,,,,
333,28849,,,,,
340,28860,,,,,
346,28872,,,,,
356,28883,,,,,
364,28895,,,,,
372,28906,,,,,
378,28917,,,,,
380,28929,,,,,
377,28941,,,,,
369,28952,,,,,
355,28963,,,,,
337,28975,,,,,
319,28986,,,,,
310,28998,,,,,
303,29009,,,,,
305,29021,,,,,
304,29032,,,,,
305,29043,,,,,
307,29054,,,,,
310,29067,,,,,
315,29078,,,,,
318,29089,,,,,
322,29101,,,,,
323,29112,,,,,
327,29123,,,,,
337,29135,,,,,
339,29147,,,,,
336,29158,,,,,
323,29169,,,,,
318,29180,,,,,
316,29192,,,,,
317,29204,,,,,
315,29215,,,,,
315,29227,,,,,
300,29238,,,,,
290,29249,,,,,
526,29260,,,,,
638,29273,,,,,
287,29284,,,,,
236,29295,,,,,
294,29306,,,,,
312,29318,,,,,
314,29329,,,,,
323,29341,,,,,
328,29352,,,,,
334,29364,,,,,
338,29375,,,,,
345,29386,,,,,
352,29399,,,,,
357,29410,,,,,
365,29421,,,,,
375,29432,,,,,
383,29444,,,,,
385,29455,,,,,
383,29467,,,,,
378,29478,,,,,
368,29490,,,,,
351,29501,,,,,
331,29512,,,,,
319,29523,,,,,
311,29536,,,,,
308,29547,,,,,
309,29558,,,,,
310,29570,,,,,
315,29581,,,,,
316,29592,,,,,
319,29604,,,,,
319,29616,,,,,
320,29627,,,,,
327,29638,,,,,
327,29649,,,,,
327,29661,,,,,
339,29673,,,,,
343,29684,,,,,
339,29696,,,,,
329,29707,,,,,
320,29718,,,,,
317,29730,,,,,
319,29742,,,,,
319,29753,,,,,
321,29764,,,,,
311,29775,,,,,
285,29787,,,,,
481,29799,,,,,
659,29810,,,,,
375,29821,,,,,
241,29833,,,,,
293,29844,,,,,
314,29855,,,,,
317,29868,,,,,
323,29879,,,,,
327,29890,,,,,
331,29901,,,,,
336,29913,,,,,
343,29924,,,,,
347,29936,,,,,
354,29947,,,,,
365,29959,,,,,
372,29970,,,,,
381,29981,,,,,
382,29992,,,,,
384,30005,,,,,
379,30016,,,,,
368,30027,,,,,
354,30039,,,,,
334,30050,,,,,
321,30061,,,,,
312,30073,,,,,
310,30085,,,,,
309,30096,,,,,
310,30107,,,,,
313,30118,,,,,
314,30131,,,,,
315,30142,,,,,
316,30153,,,,,
318,30164,,,,,
319,30176,,,,,
323,30187,,,,,
325,30199,,,,,
320,30211,,,,,
327,30222,,,,,
339,30233,,,,,
339,30244,,,,,
331,30256,,,,,
321,30268,,,,,
319,30279,,,,,
315,30290,,,,,
317,30302,,,,,
316,30313,,,,,
317,30324,,,,,
293,30337,,,,,
327,30348,,,,,
603,30359,,,,,
616,30370,,,,,
271,30382,,,,,
256,30393,,,,,
303,30405,,,,,
310,30416,,,,,
314,30428,,,,,
320,30439,,,,,
324,30450,,,,,
331,30462,,,,,
335,30474,,,,,
340,30485,,,,,
347,30496,,,,,
356,30508,,,,,
365,30519,,,,,
372,30531,,,,,
379,30542,,,,,
383,30554,,,,,
382,30565,,,,,
375,30576,,,,,
362,30587,,,,,
345,30600,,,,,
327,30611,,,,,
316,30622,,,,,
308,30633,,,,,
307,30645,,,,,
306,30656,,,,,
308,30668,,,,,
314,30680,,,,,
312,30691,,,,,
316,30702,,,,,
318,30713,,,,,
317,30725,,,,,
315,30737,,,,,
315,30748,,,,,
319,30759,,,,,
321,30771,,,,,
320,30782,,,,,
325,30793,,,,,
336,30806,,,,,
