EKG,T,,,,,0
306,3206,,,,,
306,3216,,,,,
306,3226,,,,,
307,3236,,,,,
308,3248,,,,,
306,3258,,,,,
274,3268,,,,,
335,3278,,,,,
599,3289,,,,,
629,3299,,,,,
299,3310,,,,,
240,3320,,,,,
287,3331,,,,,
306,3341,,,,,
311,3351,,,,,
313,3361,,,,,
319,3373,,,,,
324,3383,,,,,
330,3393,,,,,
336,3403,,,,,
342,3414,,,,,
348,3424,,,,,
355,3434,,,,,
363,3445,,,,,
371,3456,,,,,
378,3466,,,,,
383,3476,,,,,
383,3486,,,,,
381,3496,,,,,
374,3508,,,,,
364,3518,,,,,
351,3528,,,,,
334,3538,,,,,
323,3549,,,,,
316,3559,,,,,
312,3569,,,,,
311,3580,,,,,
313,3591,,,,,
315,3601,,,,,
317,3611,,,,,
317,3621,,,,,
321,3632,,,,,
320,3643,,,,,
325,3653,,,,,
324,3663,,,,,
327,3674,,,,,
327,3684,,,,,
339,3694,,,,,
344,3705,,,,,
341,3716,,,,,
335,3726,,,,,
327,3736,,,,,
323,3746,,,,,
322,3757,,,,,
320,3767,,,,,
321,3778,,,,,
322,3788,,,,,
314,3799,,,,,
279,3809,,,,,
412,3819,,,,,
660,3829,,,,,
546,3841,,,,,
265,3851,,,,,
263,3861,,,,,
309,3871,,,,,
317,3881,,,,,
318,3892,,,,,
323,3902,,,,,
331,3913,,,,,
335,3923,,,,,
340,3934,,,,,
342,3944,,,,,
350,3954,,,,,
358,3964,,,,,
367,3976,,,,,
373,3986,,,,,
381,3996,,,,,
382,4006,,,,,
387,4017,,,,,
385,4027,,,,,
382,4038,,,,,
375,4048,,,,,
363,4059,,,,,
349,4069,,,,,
333,4079,,,,,
321,4089,,,,,
315,4100,,,,,
313,4111,,,,,
312,4121,,,,,
314,4131,,,,,
316,4142,,,,,
319,4152,,,,,
319,4162,,,,,
321,4173,,,,,
322,4184,,,,,
325,4194,,,,,
327,4204,,,,,
327,4214,,,,,
334,4225,,,,,
340,4235,,,,,
337,4246,,,,,
334,4256,,,,,
324,4267,,,,,
318,4277,,,,,
315,4287,,,,,
316,4297,,,,,
318,4308,,,,,
317,4319,,,,,
315,4329,,,,,
277,4339,,,,,
355,4349,,,,,
634,4360,,,,,
610,4371,,,,,
282,4381,,,,,
250,4391,,,,,
