EKG,T,,,,,
393,1,90.8045977,0.124735387,62.02531646,0.177897262,1
389,2,,,,,
388,3,,,,,
387,4,,,,,
386,5,,,,,
386,6,,,,,
384,7,,,,,
384,8,,,,,
384,9,,,,,
383,10,,,,,
382,11,,,,,
378,19,,,,,
378,27,,,,,
376,35,,,,,
374,45,,,,,
376,53,,,,,
372,61,,,,,
374,69,,,,,
373,77,,,,,
372,86,,,,,
373,94,,,,,
370,102,,,,,
371,112,,,,,
369,121,,,,,
371,131,,,,,
368,140,,,,,
369,149,,,,,
367,158,,,,,
367,167,,,,,
365,178,,,,,
365,187,,,,,
365,196,,,,,
364,205,,,,,
366,215,,,,,
364,224,,,,,
367,233,,,,,
364,242,,,,,
367,252,,,,,
365,262,,,,,
366,271,,,,,
364,280,,,,,
367,289,,,,,
365,299,,,,,
367,308,,,,,
365,318,,,,,
366,327,,,,,
366,336,,,,,
365,346,,,,,
366,355,,,,,
365,364,,,,,
367,373,,,,,
364,384,,,,,
367,393,,,,,
365,402,,,,,
367,411,,,,,
365,420,,,,,
368,430,,,,,
366,439,,,,,
370,449,,,,,
369,458,,,,,
368,467,,,,,
367,477,,,,,
366,486,,,,,
367,495,,,,,
364,504,,,,,
366,515,,,,,
363,524,,,,,
366,533,,,,,
364,542,,,,,
366,551,,,,,
364,561,,,,,
371,570,,,,,
383,580,,,,,
391,589,,,,,
374,599,,,,,
333,608,,,,,
327,617,,,,,
353,626,,,,,
366,635,,,,,
369,646,,,,,
372,655,,,,,
370,664,,,,,
373,673,,,,,
371,683,,,,,
374,692,,,,,
372,701,,,,,
375,711,,,,,
374,720,,,,,
377,730,,,,,
375,739,,,,,
378,748,,,,,
378,757,,,,,
380,766,,,,,
381,777,,,,,
381,786,,,,,
383,795,,,,,
383,804,,,,,
385,814,,,,,
383,823,,,,,
384,832,,,,,
378,841,,,,,
376,851,,,,,
369,861,,,,,
368,870,,,,,
363,879,,,,,
363,888,,,,,
361,898,,,,,
362,907,,,,,
361,917,,,,,
360,926,,,,,
359,935,,,,,
359,945,,,,,
361,954,,,,,
359,963,,,,,
363,972,,,,,
360,983,,,,,
363,992,,,,,
361,1001,,,,,
364,1011,,,,,
361,1021,,,,,
364,1032,,,,,
361,1043,,,,,
364,1053,,,,,
362,1063,,,,,
364,1074,,,,,
362,1084,,,,,
364,1094,,,,,
362,1104,,,,,
363,1116,,,,,
363,1126,,,,,
364,1136,,,,,
364,1146,,,,,
364,1157,,,,,
365,1167,,,,,
363,1178,,,,,
365,1188,,,,,
363,1199,,,,,
365,1209,,,,,
363,1219,,,,,
365,1229,,,,,
364,1240,,,,,
366,1251,,,,,
364,1261,,,,,
369,1271,,,,,
366,1282,,,,,
367,1292,,,,,
364,1302,,,,,
366,1313,,,,,
361,1324,,,,,
364,1334,,,,,
361,1344,,,,,
362,1354,,,,,
361,1364,,,,,
363,1376,,,,,
366,1386,,,,,
381,1396,,,,,
387,1406,,,,,
359,1417,,,,,
315,1427,,,,,
330,1437,,,,,
357,1448,,,,,
363,1459,,,,,
367,1469,,,,,
366,1479,,,,,
367,1489,,,,,
366,1500,,,,,
368,1511,,,,,
367,1521,,,,,
370,1531,,,,,
367,1542,,,,,
371,1552,,,,,
369,1562,,,,,
372,1572,,,,,
370,1584,,,,,
374,1594,,,,,
374,1604,,,,,
377,1614,,,,,
376,1625,,,,,
377,1635,,,,,
375,1646,,,,,
371,1656,,,,,
366,1667,,,,,
361,1677,,,,,
357,1687,,,,,
353,1697,,,,,
353,1709,,,,,
350,1719,,,,,
352,1729,,,,,
350,1739,,,,,
351,1750,,,,,
349,1760,,,,,
351,1770,,,,,
349,1781,,,,,
352,1792,,,,,
349,1802,,,,,
351,1812,,,,,
349,1822,,,,,
351,1832,,,,,
348,1844,,,,,
349,1854,,,,,
346,1864,,,,,
348,1874,,,,,
346,1885,,,,,
347,1895,,,,,
346,1905,,,,,
345,1916,,,,,
345,1927,,,,,
345,1937,,,,,
346,1947,,,,,
345,1957,,,,,
345,1968,,,,,
343,1979,,,,,
346,1989,,,,,
344,1999,,,,,
346,2010,,,,,
344,2020,,,,,
347,2030,,,,,
345,2041,,,,,
347,2052,,,,,
345,2062,,,,,
348,2072,,,,,
349,2082,,,,,
350,2093,,,,,
347,2103,,,,,
349,2114,,,,,
346,2124,,,,,
345,2135,,,,,
344,2145,,,,,
345,2155,,,,,
345,2165,,,,,
346,2177,,,,,
347,2187,,,,,
355,2197,,,,,
370,2207,,,,,
363,2217,,,,,
324,2228,,,,,
306,2238,,,,,
339,2249,,,,,
348,2259,,,,,
354,2270,,,,,
